jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x2012,je,2,je 2016 <_init+0x16>,74 02,条件跳转,_init,0x2000,,,
0x2014,call,2,call *%rax,ff d0,间接调用,_init,0x2000,,,
0x201a,ret,1,ret,c3,函数返回,_init,0x2000,,,
0x2026,jmp,6,jmp *0x2fcc(%rip)        # 4ff8 <_GLOBAL_OFFSET_TABLE_+0x10>,ff 25 cc 2f 00 00,间接跳转,.plt,0x2020,,,
0x2039,jmp,5,jmp 2020 <_init+0x20>,e9 e2 ff ff ff,无条件跳转,.plt,0x2020,,,
0x2049,jmp,5,jmp 2020 <_init+0x20>,e9 d2 ff ff ff,无条件跳转,.plt,0x2020,,,
0x2059,jmp,5,jmp 2020 <_init+0x20>,e9 c2 ff ff ff,无条件跳转,.plt,0x2020,,,
0x2069,jmp,5,jmp 2020 <_init+0x20>,e9 b2 ff ff ff,无条件跳转,.plt,0x2020,,,
0x2079,jmp,5,jmp 2020 <_init+0x20>,e9 a2 ff ff ff,无条件跳转,.plt,0x2020,,,
0x2089,jmp,5,jmp 2020 <_init+0x20>,e9 92 ff ff ff,无条件跳转,.plt,0x2020,,,
0x2099,jmp,5,jmp 2020 <_init+0x20>,e9 82 ff ff ff,无条件跳转,.plt,0x2020,,,
0x20a9,jmp,5,jmp 2020 <_init+0x20>,e9 72 ff ff ff,无条件跳转,.plt,0x2020,,,
0x20b9,jmp,5,jmp 2020 <_init+0x20>,e9 62 ff ff ff,无条件跳转,.plt,0x2020,,,
0x20c9,jmp,5,jmp 2020 <_init+0x20>,e9 52 ff ff ff,无条件跳转,.plt,0x2020,,,
0x20d9,jmp,5,jmp 2020 <_init+0x20>,e9 42 ff ff ff,无条件跳转,.plt,0x2020,,,
0x20e9,jmp,5,jmp 2020 <_init+0x20>,e9 32 ff ff ff,无条件跳转,.plt,0x2020,,,
0x20f9,jmp,5,jmp 2020 <_init+0x20>,e9 22 ff ff ff,无条件跳转,.plt,0x2020,,,
0x2109,jmp,5,jmp 2020 <_init+0x20>,e9 12 ff ff ff,无条件跳转,.plt,0x2020,,,
0x2119,jmp,5,jmp 2020 <_init+0x20>,e9 02 ff ff ff,无条件跳转,.plt,0x2020,,,
0x2129,jmp,5,jmp 2020 <_init+0x20>,e9 f2 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2139,jmp,5,jmp 2020 <_init+0x20>,e9 e2 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2149,jmp,5,jmp 2020 <_init+0x20>,e9 d2 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2159,jmp,5,jmp 2020 <_init+0x20>,e9 c2 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2169,jmp,5,jmp 2020 <_init+0x20>,e9 b2 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2179,jmp,5,jmp 2020 <_init+0x20>,e9 a2 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2189,jmp,5,jmp 2020 <_init+0x20>,e9 92 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2199,jmp,5,jmp 2020 <_init+0x20>,e9 82 fe ff ff,无条件跳转,.plt,0x2020,,,
0x21a9,jmp,5,jmp 2020 <_init+0x20>,e9 72 fe ff ff,无条件跳转,.plt,0x2020,,,
0x21b9,jmp,5,jmp 2020 <_init+0x20>,e9 62 fe ff ff,无条件跳转,.plt,0x2020,,,
0x21c9,jmp,5,jmp 2020 <_init+0x20>,e9 52 fe ff ff,无条件跳转,.plt,0x2020,,,
0x21d9,jmp,5,jmp 2020 <_init+0x20>,e9 42 fe ff ff,无条件跳转,.plt,0x2020,,,
0x21e9,jmp,5,jmp 2020 <_init+0x20>,e9 32 fe ff ff,无条件跳转,.plt,0x2020,,,
0x21f9,jmp,5,jmp 2020 <_init+0x20>,e9 22 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2209,jmp,5,jmp 2020 <_init+0x20>,e9 12 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2219,jmp,5,jmp 2020 <_init+0x20>,e9 02 fe ff ff,无条件跳转,.plt,0x2020,,,
0x2224,jmp,6,jmp *0x2db6(%rip)        # 4fe0 <__cxa_finalize@GLIBC_2.2.5>,ff 25 b6 2d 00 00,间接跳转,__cxa_finalize@plt,0x2220,,,
