reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rsp,<unknown>,0x0,undefined source for rsp,_init,0x2004,"sub $0x8,%rsp",No,OK,,unknown,-
rax,_init,0x2008,"mov 0x2f99(%rip),%rax",_init,0x200f,"test %rax,%rax",No,OK,,local,-
rax,_init,0x2008,"mov 0x2f99(%rip),%rax",_init,0x2014,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x2008,local,reg_based
data_segment,_init,0x2008,← data segment [rip+0x2f99],_init,0x2014,call *%rax,No,WARNING,indirect call reg_based target rax L2: terminal (param) at _init,synthetic,reg_based
rsp,_init,0x2004,"sub $0x8,%rsp",_init,0x2016,"add $0x8,%rsp",No,OK,,local,-
rsp,_init,0x2016,"add $0x8,%rsp",_init,0x201a,ret,No,OK,,local,ret
rax,<unknown>,0x0,undefined source for rax,.plt,0x203e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x204e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x205e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x206e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x207e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x208e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x209e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x20ae,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x20be,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x20ce,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x20de,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x20ee,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x20fe,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x210e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x211e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x212e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x213e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x214e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x215e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x216e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x217e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x218e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x219e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x21ae,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x21be,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x21ce,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x21de,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x21ee,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x21fe,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x220e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x221e,"xchg %ax,%ax",No,OK,,unknown,-
rdi,deregister_tm_clones,0x2420,"lea 0x2d41(%rip),%rdi",deregister_tm_clones,0x242e,"cmp %rdi,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x2427,"lea 0x2d3a(%rip),%rax",deregister_tm_clones,0x242e,"cmp %rdi,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x2433,"mov 0x2b46(%rip),%rax",deregister_tm_clones,0x243a,"test %rax,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x2433,"mov 0x2b46(%rip),%rax",deregister_tm_clones,0x243f,jmp *%rax,No,WARNING,indirect jump reg_based target rax L1: defined at 0x2433,local,reg_based
data_segment,deregister_tm_clones,0x2433,← data segment [rip+0x2b46],deregister_tm_clones,0x243f,jmp *%rax,No,WARNING,indirect jump reg_based target rax L2: terminal (param) at deregister_tm_clones,synthetic,reg_based
rsp,<unknown>,0x0,undefined source for rsp,deregister_tm_clones,0x2448,ret,No,OK,,unknown,ret
rdi,register_tm_clones,0x2450,"lea 0x2d11(%rip),%rdi",register_tm_clones,0x245e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x2457,"lea 0x2d0a(%rip),%rsi",register_tm_clones,0x245e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x245e,"sub %rdi,%rsi",register_tm_clones,0x2461,"mov %rsi,%rax",No,OK,,local,-
rsi,register_tm_clones,0x245e,"sub %rdi,%rsi",register_tm_clones,0x2464,"shr $0x3f,%rsi",No,OK,,local,-
rax,register_tm_clones,0x2461,"mov %rsi,%rax",register_tm_clones,0x2468,"sar $0x3,%rax",No,OK,,local,-
rax,register_tm_clones,0x2468,"sar $0x3,%rax",register_tm_clones,0x246c,"add %rax,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x2464,"shr $0x3f,%rsi",register_tm_clones,0x246c,"add %rax,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x246c,"add %rax,%rsi",register_tm_clones,0x246f,"sar $1,%rsi",No,OK,,local,-
rax,register_tm_clones,0x2474,"mov 0x2b55(%rip),%rax",register_tm_clones,0x247b,"test %rax,%rax",No,OK,,local,-
rax,register_tm_clones,0x2474,"mov 0x2b55(%rip),%rax",register_tm_clones,0x2480,jmp *%rax,No,WARNING,indirect jump reg_based target rax L1: defined at 0x2474,local,reg_based
data_segment,register_tm_clones,0x2474,← data segment [rip+0x2b55],register_tm_clones,0x2480,jmp *%rax,No,WARNING,indirect jump reg_based target rax L2: terminal (param) at register_tm_clones,synthetic,reg_based
rsp,<unknown>,0x0,undefined source for rsp,register_tm_clones,0x2488,ret,No,OK,,unknown,ret
rbp,<unknown>,0x0,undefined source for rbp,__do_global_dtors_aux,0x249d,push %rbp,No,OK,,unknown,-
rsp,__do_global_dtors_aux,0x249d,push %rbp,__do_global_dtors_aux,0x24a6,"mov %rsp,%rbp",No,OK,,local,-
rsp,__do_global_dtors_aux,0x249d,push %rbp,__do_global_dtors_aux,0x24c3,pop %rbp,No,OK,,local,-
rsp,__do_global_dtors_aux,0x249d,push %rbp,__do_global_dtors_aux,0x24c4,ret,No,OK,,local,ret
rsp,<unknown>,0x0,undefined source for rsp,__do_global_dtors_aux,0x24c8,ret,No,OK,,unknown,ret
rbp,<unknown>,0x0,undefined source for rbp,target_a,0x24dd,push %rbp,No,OK,,unknown,-
rsp,target_a,0x24dd,push %rbp,target_a,0x24de,"mov %rsp,%rbp",No,OK,,local,-
rax,target_a,0x24e1,"lea 0xb18(%rip),%rax",target_a,0x24e8,"mov %rax,%rdi",No,OK,,local,-
rsp,target_a,0x24dd,push %rbp,target_a,0x24f1,pop %rbp,No,OK,,local,-
rsp,target_a,0x24dd,push %rbp,target_a,0x24f2,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,target_b,0x24f7,push %rbp,No,OK,,unknown,-
rsp,target_b,0x24f7,push %rbp,target_b,0x24f8,"mov %rsp,%rbp",No,OK,,local,-
rax,target_b,0x24fb,"lea 0xb0a(%rip),%rax",target_b,0x2502,"mov %rax,%rdi",No,OK,,local,-
rsp,target_b,0x24f7,push %rbp,target_b,0x250b,pop %rbp,No,OK,,local,-
rsp,target_b,0x24f7,push %rbp,target_b,0x250c,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,target_c,0x2511,push %rbp,No,OK,,unknown,-
rsp,target_c,0x2511,push %rbp,target_c,0x2512,"mov %rsp,%rbp",No,OK,,local,-
rax,target_c,0x2515,"lea 0xafc(%rip),%rax",target_c,0x251c,"mov %rax,%rdi",No,OK,,local,-
rsp,target_c,0x2511,push %rbp,target_c,0x2525,pop %rbp,No,OK,,local,-
rsp,target_c,0x2511,push %rbp,target_c,0x2526,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,target_d,0x252b,push %rbp,No,OK,,unknown,-
rsp,target_d,0x252b,push %rbp,target_d,0x252c,"mov %rsp,%rbp",No,OK,,local,-
rax,target_d,0x252f,"lea 0xaee(%rip),%rax",target_d,0x2536,"mov %rax,%rdi",No,OK,,local,-
rsp,target_d,0x252b,push %rbp,target_d,0x253f,pop %rbp,No,OK,,local,-
rsp,target_d,0x252b,push %rbp,target_d,0x2540,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,target_calc,0x2545,push %rbp,No,OK,,unknown,-
rsp,target_calc,0x2545,push %rbp,target_calc,0x2546,"mov %rsp,%rbp",No,OK,,local,-
rdi,target_calc,0x0,<param:rdi>,target_calc,0x2549,"mov %edi,-0x4(%rbp)",No,OK,,parameter,-
