function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
_init,0x2000,endbr64,-,-,No,No,No,-,none,OK,none
_init,0x2004,"sub $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_init,0x2008,"mov 0x2f99(%rip),%rax",-,rax,No,No,No,-,none,OK,none
_init,0x200f,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
_init,0x2012,je 2016 <_init+0x16>,-,-,No,No,No,-,none,OK,none
_init,0x2014,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x2008; indirect call reg_based target rax L2: terminal (param) at _init
_init,0x2016,"add $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_init,0x201a,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
.plt,0x2020,push 0x2fca(%rip),-,rsp,No,No,No,-,none,OK,none
.plt,0x2026,jmp *0x2fcc(%rip),-,-,No,Yes,No,got_based,low,OK,none
.plt,0x202c,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
.plt,0x2030,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2034,push $0x0,-,rsp,No,No,No,-,none,OK,none
.plt,0x2039,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x203e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2040,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2044,push $0x1,-,rsp,No,No,No,-,none,OK,none
.plt,0x2049,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x204e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2050,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2054,push $0x2,-,rsp,No,No,No,-,none,OK,none
.plt,0x2059,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x205e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2060,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2064,push $0x3,-,rsp,No,No,No,-,none,OK,none
.plt,0x2069,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x206e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2070,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2074,push $0x4,-,rsp,No,No,No,-,none,OK,none
.plt,0x2079,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x207e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2080,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2084,push $0x5,-,rsp,No,No,No,-,none,OK,none
.plt,0x2089,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x208e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2090,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2094,push $0x6,-,rsp,No,No,No,-,none,OK,none
.plt,0x2099,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x209e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x20a0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x20a4,push $0x7,-,rsp,No,No,No,-,none,OK,none
.plt,0x20a9,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x20ae,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x20b0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x20b4,push $0x8,-,rsp,No,No,No,-,none,OK,none
.plt,0x20b9,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x20be,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x20c0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x20c4,push $0x9,-,rsp,No,No,No,-,none,OK,none
.plt,0x20c9,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x20ce,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
