jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x1012,je,2,je 1016 <_init+0x16>,74 02,条件跳转,_init,0x1000,,,
0x1014,call,2,call *%rax,ff d0,间接调用,_init,0x1000,,,
0x101a,ret,1,ret,c3,函数返回,_init,0x1000,,,
0x1026,jmp,6,jmp *0x2fcc(%rip)        # 3ff8 <_GLOBAL_OFFSET_TABLE_+0x10>,ff 25 cc 2f 00 00,间接跳转,.plt,0x1020,,,
0x1039,jmp,5,jmp 1020 <_init+0x20>,e9 e2 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1049,jmp,5,jmp 1020 <_init+0x20>,e9 d2 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1059,jmp,5,jmp 1020 <_init+0x20>,e9 c2 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1069,jmp,5,jmp 1020 <_init+0x20>,e9 b2 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1079,jmp,5,jmp 1020 <_init+0x20>,e9 a2 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1089,jmp,5,jmp 1020 <_init+0x20>,e9 92 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1099,jmp,5,jmp 1020 <_init+0x20>,e9 82 ff ff ff,无条件跳转,.plt,0x1020,,,
0x10a9,jmp,5,jmp 1020 <_init+0x20>,e9 72 ff ff ff,无条件跳转,.plt,0x1020,,,
0x10b9,jmp,5,jmp 1020 <_init+0x20>,e9 62 ff ff ff,无条件跳转,.plt,0x1020,,,
0x10c9,jmp,5,jmp 1020 <_init+0x20>,e9 52 ff ff ff,无条件跳转,.plt,0x1020,,,
0x10d9,jmp,5,jmp 1020 <_init+0x20>,e9 42 ff ff ff,无条件跳转,.plt,0x1020,,,
0x10e9,jmp,5,jmp 1020 <_init+0x20>,e9 32 ff ff ff,无条件跳转,.plt,0x1020,,,
0x10f9,jmp,5,jmp 1020 <_init+0x20>,e9 22 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1104,jmp,6,jmp *0x2ed6(%rip)        # 3fe0 <__cxa_finalize@GLIBC_2.2.5>,ff 25 d6 2e 00 00,间接跳转,__cxa_finalize@plt,0x1100,,,
0x1114,jmp,6,jmp *0x2ee6(%rip)        # 4000 <free@GLIBC_2.2.5>,ff 25 e6 2e 00 00,间接跳转,free@plt,0x1110,,,
0x1124,jmp,6,jmp *0x2ede(%rip)        # 4008 <puts@GLIBC_2.2.5>,ff 25 de 2e 00 00,间接跳转,puts@plt,0x1120,,,
0x1134,jmp,6,jmp *0x2ed6(%rip)        # 4010 <attack_03@@Base+0x2c04>,ff 25 d6 2e 00 00,间接跳转,attack_03@plt,0x1130,,,
0x1144,jmp,6,jmp *0x2ece(%rip)        # 4018 <attack_07@@Base+0x2a7a>,ff 25 ce 2e 00 00,间接跳转,attack_07@plt,0x1140,,,
0x1154,jmp,6,jmp *0x2ec6(%rip)        # 4020 <attack_01@@Base+0x2cd9>,ff 25 c6 2e 00 00,间接跳转,attack_01@plt,0x1150,,,
0x1164,jmp,6,jmp *0x2ebe(%rip)        # 4028 <attack_05@@Base+0x2b73>,ff 25 be 2e 00 00,间接跳转,attack_05@plt,0x1160,,,
0x1174,jmp,6,jmp *0x2eb6(%rip)        # 4030 <run_attack@@Base+0x2a35>,ff 25 b6 2e 00 00,间接跳转,run_attack@plt,0x1170,,,
0x1184,jmp,6,jmp *0x2eae(%rip)        # 4038 <__stack_chk_fail@GLIBC_2.4>,ff 25 ae 2e 00 00,间接跳转,__stack_chk_fail@plt,0x1180,,,
0x1194,jmp,6,jmp *0x2ea6(%rip)        # 4040 <printf@GLIBC_2.2.5>,ff 25 a6 2e 00 00,间接跳转,printf@plt,0x1190,,,
0x11a4,jmp,6,jmp *0x2e9e(%rip)        # 4048 <malloc@GLIBC_2.2.5>,ff 25 9e 2e 00 00,间接跳转,malloc@plt,0x11a0,,,
0x11b4,jmp,6,jmp *0x2e96(%rip)        # 4050 <attack_04@@Base+0x2bf8>,ff 25 96 2e 00 00,间接跳转,attack_04@plt,0x11b0,,,
0x11c4,jmp,6,jmp *0x2e8e(%rip)        # 4058 <attack_02@@Base+0x2cc7>,ff 25 8e 2e 00 00,间接跳转,attack_02@plt,0x11c0,,,
0x11d4,jmp,6,jmp *0x2e86(%rip)        # 4060 <attack_06@@Base+0x2b68>,ff 25 86 2e 00 00,间接跳转,attack_06@plt,0x11d0,,,
0x11f1,je,2,je 1208 <deregister_tm_clones+0x28>,74 15,条件跳转,deregister_tm_clones,0x11e0,,,
0x11fd,je,2,je 1208 <deregister_tm_clones+0x28>,74 09,条件跳转,deregister_tm_clones,0x11e0,,,
0x11ff,jmp,2,jmp *%rax,ff e0,间接跳转,deregister_tm_clones,0x11e0,,,
