reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rsp,<unknown>,0x0,undefined source for rsp,_init,0x1004,"sub $0x8,%rsp",No,OK,,unknown,-
rax,_init,0x1008,"mov 0x2fb1(%rip),%rax",_init,0x100f,"test %rax,%rax",No,OK,,local,-
rax,_init,0x1008,"mov 0x2fb1(%rip),%rax",_init,0x1014,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1008,local,reg_based
data_segment,_init,0x1008,← data segment [rip+0x2fb1],_init,0x1014,call *%rax,No,WARNING,indirect call reg_based target rax L2: terminal (param) at _init,synthetic,reg_based
rsp,_init,0x1004,"sub $0x8,%rsp",_init,0x1016,"add $0x8,%rsp",No,OK,,local,-
rsp,_init,0x1016,"add $0x8,%rsp",_init,0x101a,ret,No,OK,,local,ret
rax,<unknown>,0x0,undefined source for rax,.plt,0x103e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x104e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x105e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x106e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x107e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x108e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x109e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10ae,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10be,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10ce,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10de,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10ee,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10fe,"xchg %ax,%ax",No,OK,,unknown,-
rdi,deregister_tm_clones,0x11e0,"lea 0x2e89(%rip),%rdi",deregister_tm_clones,0x11ee,"cmp %rdi,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x11e7,"lea 0x2e82(%rip),%rax",deregister_tm_clones,0x11ee,"cmp %rdi,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x11f3,"mov 0x2da6(%rip),%rax",deregister_tm_clones,0x11fa,"test %rax,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x11f3,"mov 0x2da6(%rip),%rax",deregister_tm_clones,0x11ff,jmp *%rax,No,WARNING,indirect jump reg_based target rax L1: defined at 0x11f3,local,reg_based
data_segment,deregister_tm_clones,0x11f3,← data segment [rip+0x2da6],deregister_tm_clones,0x11ff,jmp *%rax,No,WARNING,indirect jump reg_based target rax L2: terminal (param) at deregister_tm_clones,synthetic,reg_based
rsp,<unknown>,0x0,undefined source for rsp,deregister_tm_clones,0x1208,ret,No,OK,,unknown,ret
rdi,register_tm_clones,0x1210,"lea 0x2e59(%rip),%rdi",register_tm_clones,0x121e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x1217,"lea 0x2e52(%rip),%rsi",register_tm_clones,0x121e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x121e,"sub %rdi,%rsi",register_tm_clones,0x1221,"mov %rsi,%rax",No,OK,,local,-
rsi,register_tm_clones,0x121e,"sub %rdi,%rsi",register_tm_clones,0x1224,"shr $0x3f,%rsi",No,OK,,local,-
rax,register_tm_clones,0x1221,"mov %rsi,%rax",register_tm_clones,0x1228,"sar $0x3,%rax",No,OK,,local,-
