jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x1012,je,2,je 1016 <_init+0x16>,74 02,条件跳转,_init,0x1000,,,
0x1014,call,2,call *%rax,ff d0,间接调用,_init,0x1000,,,
0x101a,ret,1,ret,c3,函数返回,_init,0x1000,,,
0x1026,jmp,6,jmp *0x2fcc(%rip)        # 3ff8 <_GLOBAL_OFFSET_TABLE_+0x10>,ff 25 cc 2f 00 00,间接跳转,.plt,0x1020,,,
0x1039,jmp,5,jmp 1020 <_init+0x20>,e9 e2 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1049,jmp,5,jmp 1020 <_init+0x20>,e9 d2 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1054,jmp,6,jmp *0x2f86(%rip)        # 3fe0 <__cxa_finalize@GLIBC_2.2.5>,ff 25 86 2f 00 00,间接跳转,__cxa_finalize@plt,0x1050,,,
0x1064,jmp,6,jmp *0x2f96(%rip)        # 4000 <putchar@GLIBC_2.2.5>,ff 25 96 2f 00 00,间接跳转,putchar@plt,0x1060,,,
0x1074,jmp,6,jmp *0x2f8e(%rip)        # 4008 <printf@GLIBC_2.2.5>,ff 25 8e 2f 00 00,间接跳转,printf@plt,0x1070,,,
0x1091,je,2,je 10a8 <deregister_tm_clones+0x28>,74 15,条件跳转,deregister_tm_clones,0x1080,,,
0x109d,je,2,je 10a8 <deregister_tm_clones+0x28>,74 09,条件跳转,deregister_tm_clones,0x1080,,,
0x109f,jmp,2,jmp *%rax,ff e0,间接跳转,deregister_tm_clones,0x1080,,,
0x10a8,ret,1,ret,c3,函数返回,deregister_tm_clones,0x1080,,,
0x10d2,je,2,je 10e8 <register_tm_clones+0x38>,74 14,条件跳转,register_tm_clones,0x10b0,,,
0x10de,je,2,je 10e8 <register_tm_clones+0x38>,74 08,条件跳转,register_tm_clones,0x10b0,,,
0x10e0,jmp,2,jmp *%rax,ff e0,间接跳转,register_tm_clones,0x10b0,,,
0x10e8,ret,1,ret,c3,函数返回,register_tm_clones,0x10b0,,,
0x10fb,jne,2,jne 1128 <__do_global_dtors_aux+0x38>,75 2b,条件跳转,__do_global_dtors_aux,0x10f0,,,
0x1109,je,2,je 1117 <__do_global_dtors_aux+0x27>,74 0c,条件跳转,__do_global_dtors_aux,0x10f0,,,
0x1112,call,5,call 1050 <__cxa_finalize@plt>,e8 39 ff ff ff,函数调用,__do_global_dtors_aux,0x10f0,,,
0x1117,call,5,call 1080 <deregister_tm_clones>,e8 64 ff ff ff,函数调用,__do_global_dtors_aux,0x10f0,,,
0x1124,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x10f0,,,
0x1128,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x10f0,,,
0x1134,jmp,5,jmp 10b0 <register_tm_clones>,e9 77 ff ff ff,无条件跳转,frame_dummy,0x1130,,,
0x1153,jmp,2,jmp 119c <main+0x63>,eb 47,无条件跳转,main,0x1139,,,
0x117e,call,5,call 1070 <printf@plt>,e8 ed fe ff ff,函数调用,main,0x1139,,,
0x118c,jge,2,jge 1198 <main+0x5f>,7d 0a,条件跳转,main,0x1139,,,
0x1193,call,5,call 1060 <putchar@plt>,e8 c8 fe ff ff,函数调用,main,0x1139,,,
0x11a2,jl,2,jl 1155 <main+0x1c>,7c b1,条件跳转,main,0x1139,,,
0x11aa,ret,1,ret,c3,函数返回,main,0x1139,,,
0x11b8,ret,1,ret,c3,函数返回,_fini,0x11ac,,,
