function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
_init,0x1000,endbr64,-,-,No,No,No,-,none,OK,none
_init,0x1004,"sub $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_init,0x1008,"mov 0x2fc1(%rip),%rax",-,rax,No,No,No,-,none,OK,none
_init,0x100f,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
_init,0x1012,je 1016 <_init+0x16>,-,-,No,No,No,-,none,OK,none
_init,0x1014,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1008; indirect call reg_based target rax L2: terminal (param) at _init
_init,0x1016,"add $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_init,0x101a,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
.plt,0x1020,push 0x2fca(%rip),-,rsp,No,No,No,-,none,OK,none
.plt,0x1026,jmp *0x2fcc(%rip),-,-,No,Yes,No,got_based,low,OK,none
.plt,0x102c,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
.plt,0x1030,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1034,push $0x0,-,rsp,No,No,No,-,none,OK,none
.plt,0x1039,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x103e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1040,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1044,push $0x1,-,rsp,No,No,No,-,none,OK,none
.plt,0x1049,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x104e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
__cxa_finalize@plt,0x1050,endbr64,-,-,No,No,No,-,none,OK,none
__cxa_finalize@plt,0x1054,jmp *0x2f86(%rip),-,-,No,Yes,No,got_based,low,OK,none
__cxa_finalize@plt,0x105a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
putchar@plt,0x1060,endbr64,-,-,No,No,No,-,none,OK,none
putchar@plt,0x1064,jmp *0x2f96(%rip),-,-,No,Yes,No,got_based,low,OK,none
putchar@plt,0x106a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
printf@plt,0x1070,endbr64,-,-,No,No,No,-,none,OK,none
printf@plt,0x1074,jmp *0x2f8e(%rip),-,-,No,Yes,No,got_based,low,OK,none
printf@plt,0x107a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x1080,"lea 0x2f91(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
deregister_tm_clones,0x1087,"lea 0x2f8a(%rip),%rax",-,rax,No,No,No,-,none,OK,none
deregister_tm_clones,0x108e,"cmp %rdi,%rax","rdi,rax",-,No,No,No,-,none,OK,none
deregister_tm_clones,0x1091,je 10a8 <deregister_tm_clones+0x28>,-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x1093,"mov 0x2f2e(%rip),%rax",-,rax,No,No,No,-,none,OK,none
deregister_tm_clones,0x109a,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x109d,je 10a8 <deregister_tm_clones+0x28>,-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x109f,jmp *%rax,rax,-,No,Yes,No,reg_based,high,WARNING,indirect jump reg_based target rax L1: defined at 0x1093; indirect jump reg_based target rax L2: terminal (param) at deregister_tm_clones
deregister_tm_clones,0x10a1,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x10a8,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
deregister_tm_clones,0x10a9,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
register_tm_clones,0x10b0,"lea 0x2f61(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
register_tm_clones,0x10b7,"lea 0x2f5a(%rip),%rsi",-,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x10be,"sub %rdi,%rsi","rdi,rsi",rsi,No,No,No,-,none,OK,none
register_tm_clones,0x10c1,"mov %rsi,%rax",rsi,rax,No,No,No,-,none,OK,none
register_tm_clones,0x10c4,"shr $0x3f,%rsi",rsi,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x10c8,"sar $0x3,%rax",rax,rax,No,No,No,-,none,OK,none
register_tm_clones,0x10cc,"add %rax,%rsi","rax,rsi",rsi,No,No,No,-,none,OK,none
register_tm_clones,0x10cf,"sar $1,%rsi",rsi,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x10d2,je 10e8 <register_tm_clones+0x38>,-,-,No,No,No,-,none,OK,none
register_tm_clones,0x10d4,"mov 0x2efd(%rip),%rax",-,rax,No,No,No,-,none,OK,none
register_tm_clones,0x10db,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
register_tm_clones,0x10de,je 10e8 <register_tm_clones+0x38>,-,-,No,No,No,-,none,OK,none
register_tm_clones,0x10e0,jmp *%rax,rax,-,No,Yes,No,reg_based,high,WARNING,indirect jump reg_based target rax L1: defined at 0x10d4; indirect jump reg_based target rax L2: terminal (param) at register_tm_clones
register_tm_clones,0x10e2,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
register_tm_clones,0x10e8,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
register_tm_clones,0x10e9,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x10f0,endbr64,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x10f4,"cmpb $0x0,0x2f1d(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x10fb,jne 1128 <__do_global_dtors_aux+0x38>,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x10fd,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x10fe,"cmpq $0x0,0x2eda(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1106,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1109,je 1117 <__do_global_dtors_aux+0x27>,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x110b,"mov 0x2efe(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1112,call 1050 <__cxa_finalize@plt>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1117,call 1080 <deregister_tm_clones>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x111c,"movb $0x1,0x2ef5(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1123,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1124,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
__do_global_dtors_aux,0x1125,nopl (%rax),-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1128,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
__do_global_dtors_aux,0x1129,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
frame_dummy,0x1130,endbr64,-,-,No,No,No,-,none,OK,none
frame_dummy,0x1134,jmp 10b0 <register_tm_clones>,-,-,No,No,No,-,none,OK,none
main,0x1139,endbr64,-,-,No,No,No,-,none,OK,none
main,0x113d,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
main,0x113e,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
main,0x1141,"sub $0x20,%rsp",rsp,rsp,No,No,No,-,none,OK,none
main,0x1145,"mov %edi,-0x14(%rbp)","rdi,rbp",-,No,No,No,-,none,OK,none
main,0x1148,"mov %rsi,-0x20(%rbp)","rsi,rbp",-,No,No,No,-,none,OK,none
main,0x114c,"movl $0x1,-0x4(%rbp)",rbp,-,No,No,No,-,none,OK,none
main,0x1153,jmp 119c <main+0x63>,-,-,No,No,No,-,none,OK,none
main,0x1155,"mov -0x4(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
main,0x1158,cltq,-,-,No,No,No,-,none,OK,none
main,0x115a,"lea 0x0(,%rax,8),%rdx",-,-,No,No,No,-,none,OK,none
main,0x1162,"mov -0x20(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
main,0x1166,"add %rdx,%rax","rdx,rax",rax,No,No,No,-,none,OK,none
main,0x1169,"mov (%rax),%rax",rax,rax,No,No,No,-,none,OK,none
main,0x116c,"mov %rax,%rsi",rax,rsi,No,No,No,-,none,OK,none
main,0x116f,"lea 0xe8a(%rip),%rax",-,rax,No,No,No,-,none,OK,none
main,0x1176,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
main,0x1179,"mov $0x0,%eax",-,rax,No,No,No,-,none,OK,none
main,0x117e,call 1070 <printf@plt>,-,rax,No,No,No,-,none,OK,none
main,0x1183,"mov -0x14(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
main,0x1186,"sub $0x1,%eax",rax,rax,No,No,No,-,none,OK,none
main,0x1189,"cmp %eax,-0x4(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
main,0x118c,jge 1198 <main+0x5f>,-,-,No,No,No,-,none,OK,none
main,0x118e,"mov $0x20,%edi",-,rdi,No,No,No,-,none,OK,none
main,0x1193,call 1060 <putchar@plt>,-,rax,No,No,No,-,none,OK,none
main,0x1198,"addl $0x1,-0x4(%rbp)",-,rbp,No,No,No,-,none,OK,none
main,0x119c,"mov -0x4(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
main,0x119f,"cmp -0x14(%rbp),%eax","rbp,rax",-,No,No,No,-,none,OK,none
main,0x11a2,jl 1155 <main+0x1c>,-,-,No,No,No,-,none,OK,none
main,0x11a4,"mov $0x0,%eax",-,rax,No,No,No,-,none,OK,none
main,0x11a9,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
main,0x11aa,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
_fini,0x11ac,endbr64,-,-,No,No,No,-,none,OK,none
_fini,0x11b0,"sub $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_fini,0x11b4,"add $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_fini,0x11b8,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
