jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x1012,je,2,je 1016 <_init+0x16>,74 02,条件跳转,_init,0x1000,,,
0x1014,call,2,call *%rax,ff d0,间接调用,_init,0x1000,,,
0x101a,ret,1,ret,c3,函数返回,_init,0x1000,,,
0x1026,jmp,6,jmp *0x2fcc(%rip)        # 3ff8 <_GLOBAL_OFFSET_TABLE_+0x10>,ff 25 cc 2f 00 00,间接跳转,.plt,0x1020,,,
0x1039,jmp,5,jmp 1020 <_init+0x20>,e9 e2 ff ff ff,无条件跳转,.plt,0x1020,,,
0x1044,jmp,6,jmp *0x2f96(%rip)        # 3fe0 <__cxa_finalize@GLIBC_2.2.5>,ff 25 96 2f 00 00,间接跳转,__cxa_finalize@plt,0x1040,,,
0x1054,jmp,6,jmp *0x2fa6(%rip)        # 4000 <printf@GLIBC_2.2.5>,ff 25 a6 2f 00 00,间接跳转,printf@plt,0x1050,,,
0x1071,je,2,je 1088 <deregister_tm_clones+0x28>,74 15,条件跳转,deregister_tm_clones,0x1060,,,
0x107d,je,2,je 1088 <deregister_tm_clones+0x28>,74 09,条件跳转,deregister_tm_clones,0x1060,,,
0x107f,jmp,2,jmp *%rax,ff e0,间接跳转,deregister_tm_clones,0x1060,,,
0x1088,ret,1,ret,c3,函数返回,deregister_tm_clones,0x1060,,,
0x10b2,je,2,je 10c8 <register_tm_clones+0x38>,74 14,条件跳转,register_tm_clones,0x1090,,,
0x10be,je,2,je 10c8 <register_tm_clones+0x38>,74 08,条件跳转,register_tm_clones,0x1090,,,
0x10c0,jmp,2,jmp *%rax,ff e0,间接跳转,register_tm_clones,0x1090,,,
0x10c8,ret,1,ret,c3,函数返回,register_tm_clones,0x1090,,,
0x10db,jne,2,jne 1108 <__do_global_dtors_aux+0x38>,75 2b,条件跳转,__do_global_dtors_aux,0x10d0,,,
0x10e9,je,2,je 10f7 <__do_global_dtors_aux+0x27>,74 0c,条件跳转,__do_global_dtors_aux,0x10d0,,,
0x10f2,call,5,call 1040 <__cxa_finalize@plt>,e8 49 ff ff ff,函数调用,__do_global_dtors_aux,0x10d0,,,
0x10f7,call,5,call 1060 <deregister_tm_clones>,e8 64 ff ff ff,函数调用,__do_global_dtors_aux,0x10d0,,,
0x1104,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x10d0,,,
0x1108,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x10d0,,,
0x1114,jmp,5,jmp 1090 <register_tm_clones>,e9 77 ff ff ff,无条件跳转,frame_dummy,0x1110,,,
0x1130,call,5,call 1050 <printf@plt>,e8 1b ff ff ff,函数调用,main,0x1119,,,
0x113b,ret,1,ret,c3,函数返回,main,0x1119,,,
0x1148,ret,1,ret,c3,函数返回,_fini,0x113c,,,
