reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rsp,<unknown>,0x0,undefined source for rsp,_init,0x1004,"sub $0x8,%rsp",No,OK,,unknown,-
rax,_init,0x1008,"mov 0x2f99(%rip),%rax",_init,0x100f,"test %rax,%rax",No,OK,,local,-
rax,_init,0x1008,"mov 0x2f99(%rip),%rax",_init,0x1014,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1008,local,reg_based
data_segment,_init,0x1008,← data segment [rip+0x2f99],_init,0x1014,call *%rax,No,WARNING,indirect call reg_based target rax L2: terminal (param) at _init,synthetic,reg_based
rsp,_init,0x1004,"sub $0x8,%rsp",_init,0x1016,"add $0x8,%rsp",No,OK,,local,-
rsp,_init,0x1016,"add $0x8,%rsp",_init,0x101a,ret,No,OK,,local,ret
rax,<unknown>,0x0,undefined source for rax,.plt,0x103e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x104e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x105e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x106e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x107e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x108e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x109e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10ae,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10be,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10ce,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10de,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10ee,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x10fe,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x110e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x111e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x112e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x113e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x114e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x115e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x116e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x117e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x118e,"xchg %ax,%ax",No,OK,,unknown,-
rdi,deregister_tm_clones,0x1300,"lea 0x2e21(%rip),%rdi",deregister_tm_clones,0x130e,"cmp %rdi,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x1307,"lea 0x2e1a(%rip),%rax",deregister_tm_clones,0x130e,"cmp %rdi,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x1313,"mov 0x2c6e(%rip),%rax",deregister_tm_clones,0x131a,"test %rax,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x1313,"mov 0x2c6e(%rip),%rax",deregister_tm_clones,0x131f,jmp *%rax,No,WARNING,indirect jump reg_based target rax L1: defined at 0x1313,local,reg_based
data_segment,deregister_tm_clones,0x1313,← data segment [rip+0x2c6e],deregister_tm_clones,0x131f,jmp *%rax,No,WARNING,indirect jump reg_based target rax L2: terminal (param) at deregister_tm_clones,synthetic,reg_based
rsp,<unknown>,0x0,undefined source for rsp,deregister_tm_clones,0x1328,ret,No,OK,,unknown,ret
rdi,register_tm_clones,0x1330,"lea 0x2df1(%rip),%rdi",register_tm_clones,0x133e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x1337,"lea 0x2dea(%rip),%rsi",register_tm_clones,0x133e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x133e,"sub %rdi,%rsi",register_tm_clones,0x1341,"mov %rsi,%rax",No,OK,,local,-
rsi,register_tm_clones,0x133e,"sub %rdi,%rsi",register_tm_clones,0x1344,"shr $0x3f,%rsi",No,OK,,local,-
rax,register_tm_clones,0x1341,"mov %rsi,%rax",register_tm_clones,0x1348,"sar $0x3,%rax",No,OK,,local,-
rax,register_tm_clones,0x1348,"sar $0x3,%rax",register_tm_clones,0x134c,"add %rax,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x1344,"shr $0x3f,%rsi",register_tm_clones,0x134c,"add %rax,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x134c,"add %rax,%rsi",register_tm_clones,0x134f,"sar $1,%rsi",No,OK,,local,-
rax,register_tm_clones,0x1354,"mov 0x2c7d(%rip),%rax",register_tm_clones,0x135b,"test %rax,%rax",No,OK,,local,-
rax,register_tm_clones,0x1354,"mov 0x2c7d(%rip),%rax",register_tm_clones,0x1360,jmp *%rax,No,WARNING,indirect jump reg_based target rax L1: defined at 0x1354,local,reg_based
data_segment,register_tm_clones,0x1354,← data segment [rip+0x2c7d],register_tm_clones,0x1360,jmp *%rax,No,WARNING,indirect jump reg_based target rax L2: terminal (param) at register_tm_clones,synthetic,reg_based
rsp,<unknown>,0x0,undefined source for rsp,register_tm_clones,0x1368,ret,No,OK,,unknown,ret
rbp,<unknown>,0x0,undefined source for rbp,__do_global_dtors_aux,0x137d,push %rbp,No,OK,,unknown,-
rsp,__do_global_dtors_aux,0x137d,push %rbp,__do_global_dtors_aux,0x1386,"mov %rsp,%rbp",No,OK,,local,-
rsp,__do_global_dtors_aux,0x137d,push %rbp,__do_global_dtors_aux,0x13a3,pop %rbp,No,OK,,local,-
rsp,__do_global_dtors_aux,0x137d,push %rbp,__do_global_dtors_aux,0x13a4,ret,No,OK,,local,ret
rsp,<unknown>,0x0,undefined source for rsp,__do_global_dtors_aux,0x13a8,ret,No,OK,,unknown,ret
rbp,<unknown>,0x0,undefined source for rbp,test_target_a,0x13bd,push %rbp,No,OK,,unknown,-
rsp,test_target_a,0x13bd,push %rbp,test_target_a,0x13be,"mov %rsp,%rbp",No,OK,,local,-
rax,test_target_a,0x13c1,"lea 0xc38(%rip),%rax",test_target_a,0x13c8,"mov %rax,%rdi",No,OK,,local,-
rsp,test_target_a,0x13bd,push %rbp,test_target_a,0x13d1,pop %rbp,No,OK,,local,-
rsp,test_target_a,0x13bd,push %rbp,test_target_a,0x13d2,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test_target_b,0x13d7,push %rbp,No,OK,,unknown,-
rsp,test_target_b,0x13d7,push %rbp,test_target_b,0x13d8,"mov %rsp,%rbp",No,OK,,local,-
rax,test_target_b,0x13db,"lea 0xc2f(%rip),%rax",test_target_b,0x13e2,"mov %rax,%rdi",No,OK,,local,-
rsp,test_target_b,0x13d7,push %rbp,test_target_b,0x13eb,pop %rbp,No,OK,,local,-
rsp,test_target_b,0x13d7,push %rbp,test_target_b,0x13ec,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test_target_c,0x13f1,push %rbp,No,OK,,unknown,-
rsp,test_target_c,0x13f1,push %rbp,test_target_c,0x13f2,"mov %rsp,%rbp",No,OK,,local,-
rax,test_target_c,0x13f5,"lea 0xc26(%rip),%rax",test_target_c,0x13fc,"mov %rax,%rdi",No,OK,,local,-
rsp,test_target_c,0x13f1,push %rbp,test_target_c,0x1405,pop %rbp,No,OK,,local,-
rsp,test_target_c,0x13f1,push %rbp,test_target_c,0x1406,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test_target_d,0x140b,push %rbp,No,OK,,unknown,-
rsp,test_target_d,0x140b,push %rbp,test_target_d,0x140c,"mov %rsp,%rbp",No,OK,,local,-
rax,test_target_d,0x140f,"lea 0xc1d(%rip),%rax",test_target_d,0x1416,"mov %rax,%rdi",No,OK,,local,-
rsp,test_target_d,0x140b,push %rbp,test_target_d,0x141f,pop %rbp,No,OK,,local,-
rsp,test_target_d,0x140b,push %rbp,test_target_d,0x1420,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test_target_ret_int,0x1425,push %rbp,No,OK,,unknown,-
rsp,test_target_ret_int,0x1425,push %rbp,test_target_ret_int,0x1426,"mov %rsp,%rbp",No,OK,,local,-
rdi,test_target_ret_int,0x0,<param:rdi>,test_target_ret_int,0x1429,"mov %edi,-0x4(%rbp)",No,OK,,parameter,-
rbp,test_target_ret_int,0x1426,"mov %rsp,%rbp",test_target_ret_int,0x1429,"mov %edi,-0x4(%rbp)",No,OK,,local,-
rbp,test_target_ret_int,0x1426,"mov %rsp,%rbp",test_target_ret_int,0x142c,"mov -0x4(%rbp),%eax",No,OK,,local,-
rax,test_target_ret_int,0x142c,"mov -0x4(%rbp),%eax",test_target_ret_int,0x142f,"add %eax,%eax",No,OK,,local,-
rsp,test_target_ret_int,0x1425,push %rbp,test_target_ret_int,0x1431,pop %rbp,No,OK,,local,-
rsp,test_target_ret_int,0x1425,push %rbp,test_target_ret_int,0x1432,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,test_target_arg,0x1437,push %rbp,No,OK,,unknown,-
rsp,test_target_arg,0x1437,push %rbp,test_target_arg,0x1438,"mov %rsp,%rbp",No,OK,,local,-
rsp,test_target_arg,0x1437,push %rbp,test_target_arg,0x143b,"sub $0x10,%rsp",No,OK,,local,-
rdi,test_target_arg,0x0,<param:rdi>,test_target_arg,0x143f,"mov %edi,-0x4(%rbp)",No,OK,,parameter,-
