function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
_init,0x1000,endbr64,-,-,No,No,No,-,none,OK,none
_init,0x1004,"sub $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_init,0x1008,"mov 0x2f99(%rip),%rax",-,rax,No,No,No,-,none,OK,none
_init,0x100f,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
_init,0x1012,je 1016 <_init+0x16>,-,-,No,No,No,-,none,OK,none
_init,0x1014,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1008; indirect call reg_based target rax L2: terminal (param) at _init
_init,0x1016,"add $0x8,%rsp",rsp,rsp,No,No,No,-,none,OK,none
_init,0x101a,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
.plt,0x1020,push 0x2fca(%rip),-,rsp,No,No,No,-,none,OK,none
.plt,0x1026,jmp *0x2fcc(%rip),-,-,No,Yes,No,got_based,low,OK,none
.plt,0x102c,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
.plt,0x1030,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1034,push $0x0,-,rsp,No,No,No,-,none,OK,none
.plt,0x1039,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x103e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1040,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1044,push $0x1,-,rsp,No,No,No,-,none,OK,none
.plt,0x1049,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x104e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1050,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1054,push $0x2,-,rsp,No,No,No,-,none,OK,none
.plt,0x1059,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x105e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1060,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1064,push $0x3,-,rsp,No,No,No,-,none,OK,none
.plt,0x1069,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x106e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1070,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1074,push $0x4,-,rsp,No,No,No,-,none,OK,none
.plt,0x1079,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x107e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1080,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1084,push $0x5,-,rsp,No,No,No,-,none,OK,none
.plt,0x1089,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x108e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1090,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1094,push $0x6,-,rsp,No,No,No,-,none,OK,none
.plt,0x1099,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x109e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x10a0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x10a4,push $0x7,-,rsp,No,No,No,-,none,OK,none
.plt,0x10a9,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x10ae,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x10b0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x10b4,push $0x8,-,rsp,No,No,No,-,none,OK,none
.plt,0x10b9,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x10be,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x10c0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x10c4,push $0x9,-,rsp,No,No,No,-,none,OK,none
.plt,0x10c9,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x10ce,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x10d0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x10d4,push $0xa,-,rsp,No,No,No,-,none,OK,none
.plt,0x10d9,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x10de,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x10e0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x10e4,push $0xb,-,rsp,No,No,No,-,none,OK,none
.plt,0x10e9,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x10ee,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x10f0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x10f4,push $0xc,-,rsp,No,No,No,-,none,OK,none
.plt,0x10f9,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x10fe,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1100,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1104,push $0xd,-,rsp,No,No,No,-,none,OK,none
.plt,0x1109,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x110e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1110,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1114,push $0xe,-,rsp,No,No,No,-,none,OK,none
.plt,0x1119,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x111e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1120,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1124,push $0xf,-,rsp,No,No,No,-,none,OK,none
.plt,0x1129,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x112e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1130,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1134,push $0x10,-,rsp,No,No,No,-,none,OK,none
.plt,0x1139,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x113e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1140,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1144,push $0x11,-,rsp,No,No,No,-,none,OK,none
.plt,0x1149,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x114e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1150,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1154,push $0x12,-,rsp,No,No,No,-,none,OK,none
.plt,0x1159,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x115e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1160,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1164,push $0x13,-,rsp,No,No,No,-,none,OK,none
.plt,0x1169,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x116e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1170,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1174,push $0x14,-,rsp,No,No,No,-,none,OK,none
.plt,0x1179,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x117e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1180,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1184,push $0x15,-,rsp,No,No,No,-,none,OK,none
.plt,0x1189,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x118e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
__cxa_finalize@plt,0x1190,endbr64,-,-,No,No,No,-,none,OK,none
__cxa_finalize@plt,0x1194,jmp *0x2e46(%rip),-,-,No,Yes,No,got_based,low,OK,none
__cxa_finalize@plt,0x119a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test13_runtime_computed_target@plt,0x11a0,endbr64,-,-,No,No,No,-,none,OK,none
test13_runtime_computed_target@plt,0x11a4,jmp *0x2e56(%rip),-,-,No,Yes,No,got_based,low,OK,none
test13_runtime_computed_target@plt,0x11aa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
puts@plt,0x11b0,endbr64,-,-,No,No,No,-,none,OK,none
puts@plt,0x11b4,jmp *0x2e4e(%rip),-,-,No,Yes,No,got_based,low,OK,none
puts@plt,0x11ba,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test10_volatile_fptr@plt,0x11c0,endbr64,-,-,No,No,No,-,none,OK,none
test10_volatile_fptr@plt,0x11c4,jmp *0x2e46(%rip),-,-,No,Yes,No,got_based,low,OK,none
test10_volatile_fptr@plt,0x11ca,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test05_vtable_call@plt,0x11d0,endbr64,-,-,No,No,No,-,none,OK,none
test05_vtable_call@plt,0x11d4,jmp *0x2e3e(%rip),-,-,No,Yes,No,got_based,low,OK,none
test05_vtable_call@plt,0x11da,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test04_stack_fptr_call@plt,0x11e0,endbr64,-,-,No,No,No,-,none,OK,none
test04_stack_fptr_call@plt,0x11e4,jmp *0x2e36(%rip),-,-,No,Yes,No,got_based,low,OK,none
test04_stack_fptr_call@plt,0x11ea,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
__stack_chk_fail@plt,0x11f0,endbr64,-,-,No,No,No,-,none,OK,none
__stack_chk_fail@plt,0x11f4,jmp *0x2e2e(%rip),-,-,No,Yes,No,got_based,low,OK,none
__stack_chk_fail@plt,0x11fa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test09_indirect_call_multiarg@plt,0x1200,endbr64,-,-,No,No,No,-,none,OK,none
test09_indirect_call_multiarg@plt,0x1204,jmp *0x2e26(%rip),-,-,No,Yes,No,got_based,low,OK,none
test09_indirect_call_multiarg@plt,0x120a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
printf@plt,0x1210,endbr64,-,-,No,No,No,-,none,OK,none
printf@plt,0x1214,jmp *0x2e1e(%rip),-,-,No,Yes,No,got_based,low,OK,none
printf@plt,0x121a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test15_double_indirect@plt,0x1220,endbr64,-,-,No,No,No,-,none,OK,none
test15_double_indirect@plt,0x1224,jmp *0x2e16(%rip),-,-,No,Yes,No,got_based,low,OK,none
test15_double_indirect@plt,0x122a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test16_returned_fptr_call@plt,0x1230,endbr64,-,-,No,No,No,-,none,OK,none
test16_returned_fptr_call@plt,0x1234,jmp *0x2e0e(%rip),-,-,No,Yes,No,got_based,low,OK,none
