reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rsp,<unknown>,0x0,undefined source for rsp,_init,0x1004,"sub $0x8,%rsp",No,OK,,unknown,-
rax,_init,0x1008,"mov 0x2fa9(%rip),%rax",_init,0x100f,"test %rax,%rax",No,OK,,local,-
eflags,_init,0x100f,"test %rax,%rax",_init,0x1012,je 1016 <_init+0x16>,No,OK,,local,-
rax,_init,0x1008,"mov 0x2fa9(%rip),%rax",_init,0x1014,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1008,local,reg_based
rsp,_init,0x1004,"sub $0x8,%rsp",_init,0x1016,"add $0x8,%rsp",No,OK,,local,-
rsp,_init,0x1016,"add $0x8,%rsp",_init,0x101a,ret,No,OK,"ret target rsp L1: defined at 0x1016 (add $0x8,%rsp)",local,ret
rsp,_init,0x1004,"sub $0x8,%rsp",_init,0x101a,ret,No,OK,"ret target rsp L2: defined at 0x1004 (sub $0x8,%rsp)",local,ret
rsp,<unknown>,0x0,undefined source for rsp,_init,0x101a,ret,Yes,WARNING,ret target rsp L3: no local rsp definition,unknown,ret
rax,<unknown>,0x0,undefined source for rax,.plt,0x103e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x104e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x105e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x106e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x107e,"xchg %ax,%ax",No,OK,,unknown,-
rax,<unknown>,0x0,undefined source for rax,.plt,0x108e,"xchg %ax,%ax",No,OK,,unknown,-
rdi,deregister_tm_clones,0x1120,"lea 0x2f19(%rip),%rdi",deregister_tm_clones,0x112e,"cmp %rdi,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x1127,"lea 0x2f12(%rip),%rax",deregister_tm_clones,0x112e,"cmp %rdi,%rax",No,OK,,local,-
eflags,deregister_tm_clones,0x112e,"cmp %rdi,%rax",deregister_tm_clones,0x1131,je 1148 <deregister_tm_clones+0x28>,No,OK,,local,-
rax,deregister_tm_clones,0x1133,"mov 0x2e76(%rip),%rax",deregister_tm_clones,0x113a,"test %rax,%rax",No,OK,,local,-
eflags,deregister_tm_clones,0x113a,"test %rax,%rax",deregister_tm_clones,0x113d,je 1148 <deregister_tm_clones+0x28>,No,OK,,local,-
rax,deregister_tm_clones,0x1133,"mov 0x2e76(%rip),%rax",deregister_tm_clones,0x113f,jmp *%rax,No,WARNING,indirect jump reg_based target rax L1: defined at 0x1133,local,reg_based
rsp,<unknown>,0x0,undefined source for rsp,deregister_tm_clones,0x1148,ret,Yes,WARNING,ret target rsp L1: no local rsp definition,unknown,ret
rdi,register_tm_clones,0x1150,"lea 0x2ee9(%rip),%rdi",register_tm_clones,0x115e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x1157,"lea 0x2ee2(%rip),%rsi",register_tm_clones,0x115e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x115e,"sub %rdi,%rsi",register_tm_clones,0x1161,"mov %rsi,%rax",No,OK,,local,-
rsi,register_tm_clones,0x115e,"sub %rdi,%rsi",register_tm_clones,0x1164,"shr $0x3f,%rsi",No,OK,,local,-
rax,register_tm_clones,0x1161,"mov %rsi,%rax",register_tm_clones,0x1168,"sar $0x3,%rax",No,OK,,local,-
rax,register_tm_clones,0x1168,"sar $0x3,%rax",register_tm_clones,0x116c,"add %rax,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x1164,"shr $0x3f,%rsi",register_tm_clones,0x116c,"add %rax,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x116c,"add %rax,%rsi",register_tm_clones,0x116f,"sar $1,%rsi",No,OK,,local,-
eflags,register_tm_clones,0x116f,"sar $1,%rsi",register_tm_clones,0x1172,je 1188 <register_tm_clones+0x38>,No,OK,,local,-
rax,register_tm_clones,0x1174,"mov 0x2e55(%rip),%rax",register_tm_clones,0x117b,"test %rax,%rax",No,OK,,local,-
