function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
_init,0x1000,endbr64,-,-,No,No,No,-,none,OK,none
_init,0x1004,"sub $0x8,%rsp",rsp,"rsp,eflags",No,No,No,-,none,OK,none
_init,0x1008,"mov 0x2fa9(%rip),%rax",-,rax,No,No,No,-,none,OK,none
_init,0x100f,"test %rax,%rax",rax,eflags,No,No,No,-,none,OK,none
_init,0x1012,je 1016 <_init+0x16>,eflags,-,No,No,No,-,none,OK,none
_init,0x1014,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1008; indirect call reg_based target rax L2: defined at 0x1008; indirect call reg_based target rax L3: defined at 0x1008
_init,0x1016,"add $0x8,%rsp",rsp,"rsp,eflags",No,No,No,-,none,OK,none
_init,0x101a,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,"ret target rsp L1: defined at 0x1016 (add $0x8,%rsp); ret target rsp L2: defined at 0x1004 (sub $0x8,%rsp); ret target rsp L3: no local rsp definition"
.plt,0x1020,push 0x2fca(%rip),-,rsp,No,No,No,-,none,OK,none
.plt,0x1026,jmp *0x2fcc(%rip),-,-,No,Yes,No,got_based,low,OK,none
.plt,0x102c,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
.plt,0x1030,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1034,push $0x0,-,rsp,No,No,No,-,none,OK,none
.plt,0x1039,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x103e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1040,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1044,push $0x1,-,rsp,No,No,No,-,none,OK,none
.plt,0x1049,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x104e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1050,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1054,push $0x2,-,rsp,No,No,No,-,none,OK,none
.plt,0x1059,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x105e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1060,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1064,push $0x3,-,rsp,No,No,No,-,none,OK,none
.plt,0x1069,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x106e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1070,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1074,push $0x4,-,rsp,No,No,No,-,none,OK,none
.plt,0x1079,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x107e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x1080,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x1084,push $0x5,-,rsp,No,No,No,-,none,OK,none
.plt,0x1089,jmp 1020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x108e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
test_returns@plt,0x1090,endbr64,-,-,No,No,No,-,none,OK,none
test_returns@plt,0x1094,jmp *0x2f26(%rip),-,-,No,Yes,No,got_based,low,OK,none
test_returns@plt,0x109a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test_indirect_jump@plt,0x10a0,endbr64,-,-,No,No,No,-,none,OK,none
test_indirect_jump@plt,0x10a4,jmp *0x2f1e(%rip),-,-,No,Yes,No,got_based,low,OK,none
test_indirect_jump@plt,0x10aa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
__cxa_finalize@plt,0x10b0,endbr64,-,-,No,No,No,-,none,OK,none
__cxa_finalize@plt,0x10b4,jmp *0x2f26(%rip),-,-,No,Yes,No,got_based,low,OK,none
__cxa_finalize@plt,0x10ba,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
puts@plt,0x10c0,endbr64,-,-,No,No,No,-,none,OK,none
puts@plt,0x10c4,jmp *0x2f36(%rip),-,-,No,Yes,No,got_based,low,OK,none
puts@plt,0x10ca,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
printf@plt,0x10d0,endbr64,-,-,No,No,No,-,none,OK,none
printf@plt,0x10d4,jmp *0x2f2e(%rip),-,-,No,Yes,No,got_based,low,OK,none
printf@plt,0x10da,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test_ifelse@plt,0x10e0,endbr64,-,-,No,No,No,-,none,OK,none
test_ifelse@plt,0x10e4,jmp *0x2f26(%rip),-,-,No,Yes,No,got_based,low,OK,none
test_ifelse@plt,0x10ea,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test_ff_instructions@plt,0x10f0,endbr64,-,-,No,No,No,-,none,OK,none
test_ff_instructions@plt,0x10f4,jmp *0x2f1e(%rip),-,-,No,Yes,No,got_based,low,OK,none
test_ff_instructions@plt,0x10fa,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test_indirect_call@plt,0x1100,endbr64,-,-,No,No,No,-,none,OK,none
test_indirect_call@plt,0x1104,jmp *0x2f16(%rip),-,-,No,Yes,No,got_based,low,OK,none
test_indirect_call@plt,0x110a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test_switch@plt,0x1110,endbr64,-,-,No,No,No,-,none,OK,none
test_switch@plt,0x1114,jmp *0x2f0e(%rip),-,-,No,Yes,No,got_based,low,OK,none
test_switch@plt,0x111a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
