jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x0,callq,5,callq 5 <e1000_alloc_dummy_rx_buffers>,e8 00 00 00 00,函数调用,.altinstr_replacement,0x0,0x5,e1000_alloc_dummy_rx_buffers,0x0
0x10,callq,5,callq 15 <e1000_fix_features>,e8 00 00 00 00,函数调用,e1000_fix_features,0x10,0x15,e1000_fix_features,0x10
0x40,callq,5,callq 45 <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_regdump,0x40,0x45,e1000_regdump,0x40
0x3d7,callq,5,callq 3dc <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_xmit_frame.cold,0x2f8,0x3dc,e1000_regdump,0x2f8
0x3ea,ja,2,ja 427 <e1000_regdump>,77 3b,条件跳转,e1000_xmit_frame.cold,0x2f8,0x427,e1000_regdump,0x2f8
0x3ff,callq,5,callq 404 <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_xmit_frame.cold,0x2f8,0x404,e1000_regdump,0x2f8
0x408,jne,2,jne 3dc <e1000_regdump>,75 d2,条件跳转,e1000_xmit_frame.cold,0x2f8,0x3dc,e1000_regdump,0x2f8
0x417,jne,2,jne 441 <e1000_regdump>,75 28,条件跳转,e1000_xmit_frame.cold,0x2f8,0x441,e1000_regdump,0x2f8
0x434,callq,5,callq 439 <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_xmit_frame.cold,0x2f8,0x439,e1000_regdump,0x2f8
0x43f,jmp,2,jmp 3ec <e1000_regdump>,eb ab,无条件跳转,e1000_xmit_frame.cold,0x2f8,0x3ec,e1000_regdump,0x2f8
0x441,callq,5,callq 446 <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_xmit_frame.cold,0x2f8,0x446,e1000_regdump,0x2f8
0x450,callq,5,callq 455 <e1000_update_itr>,e8 00 00 00 00,函数调用,e1000_update_itr,0x450,0x455,e1000_update_itr,0x450
0x463,jbe,2,jbe 47c <e1000_update_itr>,76 17,条件跳转,e1000_update_itr,0x450,0x47c,e1000_update_itr,0x450
0x469,je,2,je 47c <e1000_update_itr>,74 11,条件跳转,e1000_update_itr,0x450,0x47c,e1000_update_itr,0x450
0x46f,je,2,je 4c8 <e1000_update_itr>,74 57,条件跳转,e1000_update_itr,0x450,0x4c8,e1000_update_itr,0x450
0x475,je,2,je 4af <e1000_update_itr>,74 38,条件跳转,e1000_update_itr,0x450,0x4af,e1000_update_itr,0x450
0x47a,je,2,je 482 <e1000_update_itr>,74 06,条件跳转,e1000_update_itr,0x450,0x482,e1000_update_itr,0x450
0x494,jg,2,jg 47c <e1000_update_itr>,7f e6,条件跳转,e1000_update_itr,0x450,0x47c,e1000_update_itr,0x450
0x4b5,jle,2,jle 52a <e1000_update_itr>,7e 73,条件跳转,e1000_update_itr,0x450,0x52a,e1000_update_itr,0x450
0x4d5,jle,2,jle 4fc <e1000_update_itr>,7e 25,条件跳转,e1000_update_itr,0x450,0x4fc,e1000_update_itr,0x450
0x4da,jle,2,jle 4f1 <e1000_update_itr>,7e 15,条件跳转,e1000_update_itr,0x450,0x4f1,e1000_update_itr,0x450
0x4e1,jg,2,jg 4f1 <e1000_update_itr>,7f 0e,条件跳转,e1000_update_itr,0x450,0x4f1,e1000_update_itr,0x450
0x507,jg,6,jg 47c <e1000_update_itr>,0f 8f 6f ff ff ff,条件跳转,e1000_update_itr,0x450,0x47c,e1000_update_itr,0x450
0x540,callq,5,callq 545 <e1000_maybe_stop_tx>,e8 00 00 00 00,函数调用,e1000_maybe_stop_tx,0x540,0x545,e1000_maybe_stop_tx,0x540
0x554,ja,2,ja 55a <e1000_maybe_stop_tx>,77 04,条件跳转,e1000_maybe_stop_tx,0x540,0x55a,e1000_maybe_stop_tx,0x540
0x567,ja,2,ja 572 <e1000_maybe_stop_tx>,77 09,条件跳转,e1000_maybe_stop_tx,0x540,0x572,e1000_maybe_stop_tx,0x540
0x596,ja,2,ja 59c <e1000_maybe_stop_tx>,77 04,条件跳转,e1000_clean_rx_irq.cold,0x575,0x59c,e1000_maybe_stop_tx,0x575
0x5ac,ja,2,ja 569 <e1000_maybe_stop_tx>,77 bb,条件跳转,e1000_alloc_rx_buffers.cold,0x5a7,0x569,e1000_maybe_stop_tx,0x540
0x5c7,jmp,2,jmp 569 <e1000_maybe_stop_tx>,eb a0,无条件跳转,e1000_alloc_rx_buffers.cold,0x5a7,0x569,e1000_maybe_stop_tx,0x540
0x5d0,callq,5,callq 5d5 <e1000_intr>,e8 00 00 00 00,函数调用,e1000_intr,0x5d0,0x5d5,e1000_intr,0x5d0
0x5e4,je,6,je 6a4 <e1000_intr>,0f 84 ba 00 00 00,条件跳转,e1000_intr,0x5d0,0x6a4,e1000_intr,0x656
0x5fe,jne,6,jne 692 <e1000_intr>,0f 85 8e 00 00 00,条件跳转,e1000_intr,0x5d0,0x692,e1000_intr,0x656
