jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x0,call,5,call 5 <expect_iter_all>,e8 00 00 00 00,函数调用,cleanup_module,0x0,0x5,expect_iter_all,0x0
0xf,jmp,5,jmp 14 <expect_iter_all>,e9 00 00 00 00,无条件跳转,cleanup_module,0x0,0x14,expect_iter_all,0x0
0x20,call,5,call 25 <ctnetlink_glue_seqadj>,e8 00 00 00 00,函数调用,ctnetlink_glue_seqadj,0x20,0x25,ctnetlink_glue_seqadj,0x20
0x2c,jne,2,jne 33 <ctnetlink_glue_seqadj>,75 05,条件跳转,ctnetlink_glue_seqadj,0x20,0x33,ctnetlink_glue_seqadj,0x20
0x2e,jmp,5,jmp 33 <ctnetlink_glue_seqadj>,e9 00 00 00 00,无条件跳转,ctnetlink_glue_seqadj,0x20,0x33,ctnetlink_glue_seqadj,0x20
0x37,call,5,call 3c <ctnetlink_glue_seqadj>,e8 00 00 00 00,函数调用,ctnetlink_glue_seqadj,0x20,0x3c,ctnetlink_glue_seqadj,0x20
0x3d,jmp,5,jmp 42 <ctnetlink_glue_seqadj>,e9 00 00 00 00,无条件跳转,ctnetlink_glue_seqadj,0x20,0x42,ctnetlink_glue_seqadj,0x20
0x50,call,5,call 55 <ctnetlink_exp_done>,e8 00 00 00 00,函数调用,ctnetlink_exp_done,0x50,0x55,ctnetlink_exp_done,0x50
0x5c,jne,2,jne 65 <ctnetlink_exp_done>,75 07,条件跳转,ctnetlink_exp_done,0x50,0x65,ctnetlink_exp_done,0x50
0x60,jmp,5,jmp 65 <ctnetlink_exp_done>,e9 00 00 00 00,无条件跳转,ctnetlink_exp_done,0x50,0x65,ctnetlink_exp_done,0x50
0x69,call,5,call 6e <ctnetlink_exp_done>,e8 00 00 00 00,函数调用,ctnetlink_exp_done,0x50,0x6e,ctnetlink_exp_done,0x50
0x71,jmp,5,jmp 76 <ctnetlink_exp_done>,e9 00 00 00 00,无条件跳转,ctnetlink_exp_done,0x50,0x76,ctnetlink_exp_done,0x50
0x80,call,5,call 85 <ctnetlink_change_protoinfo>,e8 00 00 00 00,函数调用,ctnetlink_change_protoinfo,0x80,0x85,ctnetlink_change_protoinfo,0x80
0xc6,call,5,call cb <ctnetlink_change_protoinfo>,e8 00 00 00 00,函数调用,ctnetlink_change_protoinfo,0x80,0xcb,ctnetlink_change_protoinfo,0x80
0xd1,js,2,js f5 <ctnetlink_change_protoinfo>,78 22,条件跳转,ctnetlink_change_protoinfo,0x80,0xf5,ctnetlink_change_protoinfo,0x80
0xd8,call,5,call dd <ctnetlink_change_protoinfo>,e8 00 00 00 00,函数调用,ctnetlink_change_protoinfo,0x80,0xdd,ctnetlink_change_protoinfo,0x80
0xe4,je,2,je f5 <ctnetlink_change_protoinfo>,74 0f,条件跳转,ctnetlink_change_protoinfo,0x80,0xf5,ctnetlink_change_protoinfo,0x80
0xed,call,5,call f2 <ctnetlink_change_protoinfo>,e8 00 00 00 00,函数调用,ctnetlink_change_protoinfo,0x80,0xf2,ctnetlink_change_protoinfo,0x80
0x102,jne,2,jne 115 <ctnetlink_change_protoinfo>,75 11,条件跳转,ctnetlink_change_protoinfo,0x80,0x115,ctnetlink_change_protoinfo,0x80
0x110,jmp,5,jmp 115 <ctnetlink_change_protoinfo>,e9 00 00 00 00,无条件跳转,ctnetlink_change_protoinfo,0x80,0x115,ctnetlink_change_protoinfo,0x80
0x115,call,5,call 11a <ctnetlink_change_protoinfo>,e8 00 00 00 00,函数调用,ctnetlink_change_protoinfo,0x80,0x11a,ctnetlink_change_protoinfo,0x80
0x120,call,5,call 125 <ctnetlink_parse_tuple_proto>,e8 00 00 00 00,函数调用,ctnetlink_parse_tuple_proto,0x120,0x125,ctnetlink_parse_tuple_proto,0x120
0x170,call,5,call 175 <ctnetlink_parse_tuple_proto>,e8 00 00 00 00,函数调用,ctnetlink_parse_tuple_proto,0x120,0x175,ctnetlink_parse_tuple_proto,0x120
0x17b,js,2,js 1fa <ctnetlink_parse_tuple_proto>,78 7d,条件跳转,ctnetlink_parse_tuple_proto,0x120,0x1fa,ctnetlink_parse_tuple_proto,0x120
0x181,je,6,je 21f <ctnetlink_parse_tuple_proto>,0f 84 98 00 00 00,条件跳转,ctnetlink_parse_tuple_proto,0x120,0x21f,ctnetlink_parse_tuple_proto,0x120
0x18e,je,6,je 224 <ctnetlink_parse_tuple_proto>,0f 84 90 00 00 00,条件跳转,ctnetlink_parse_tuple_proto,0x120,0x224,ctnetlink_parse_tuple_proto,0x120
0x1a1,call,5,call 1a6 <ctnetlink_parse_tuple_proto>,e8 00 00 00 00,函数调用,ctnetlink_parse_tuple_proto,0x120,0x1a6,ctnetlink_parse_tuple_proto,0x120
0x1ab,je,2,je 1f5 <ctnetlink_parse_tuple_proto>,74 48,条件跳转,ctnetlink_parse_tuple_proto,0x120,0x1f5,ctnetlink_parse_tuple_proto,0x120
0x1cc,call,5,call 1d1 <ctnetlink_parse_tuple_proto>,e8 00 00 00 00,函数调用,ctnetlink_parse_tuple_proto,0x120,0x1d1,ctnetlink_parse_tuple_proto,0x120
