jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x0,callq,5,callq 5 <nfnl_lock>,e8 00 00 00 00,函数调用,cleanup_module,0x0,0x5,nfnl_lock,0x0
0x15,ja,2,ja 2e <nfnl_lock>,77 17,条件跳转,cleanup_module,0x0,0x2e,nfnl_lock,0x0
0x23,callq,5,callq 28 <nfnl_lock>,e8 00 00 00 00,函数调用,cleanup_module,0x0,0x28,nfnl_lock,0x0
0x3c,callq,5,callq 41 <nfnl_lock>,e8 00 00 00 00,函数调用,cleanup_module,0x0,0x41,nfnl_lock,0x0
0x45,jmp,2,jmp 17 <nfnl_lock>,eb d0,无条件跳转,cleanup_module,0x0,0x17,nfnl_lock,0x0
0x50,callq,5,callq 55 <nfnl_unlock>,e8 00 00 00 00,函数调用,nfnl_unlock,0x50,0x55,nfnl_unlock,0x50
0x65,ja,2,ja 7e <nfnl_unlock>,77 17,条件跳转,nfnl_unlock,0x50,0x7e,nfnl_unlock,0x50
0x73,callq,5,callq 78 <nfnl_unlock>,e8 00 00 00 00,函数调用,nfnl_unlock,0x50,0x78,nfnl_unlock,0x50
0x8c,callq,5,callq 91 <nfnl_unlock>,e8 00 00 00 00,函数调用,nfnl_unlock,0x50,0x91,nfnl_unlock,0x50
0x95,jmp,2,jmp 67 <nfnl_unlock>,eb d0,无条件跳转,nfnl_unlock,0x50,0x67,nfnl_unlock,0x50
0xa0,callq,5,callq a5 <nfnetlink_subsys_unregister>,e8 00 00 00 00,函数调用,nfnetlink_subsys_unregister,0xa0,0xa5,nfnetlink_subsys_unregister,0xa0
0xba,ja,2,ja 119 <nfnetlink_subsys_unregister>,77 5d,条件跳转,nfnetlink_subsys_unregister,0xa0,0x119,nfnetlink_subsys_unregister,0xa0
0xc8,callq,5,callq cd <nfnetlink_subsys_unregister>,e8 00 00 00 00,函数调用,nfnetlink_subsys_unregister,0xa0,0xcd,nfnetlink_subsys_unregister,0xa0
0xd7,ja,2,ja 135 <nfnetlink_subsys_unregister>,77 5c,条件跳转,nfnetlink_subsys_unregister,0xa0,0x135,nfnetlink_subsys_unregister,0xa0
0xf6,ja,2,ja 127 <nfnetlink_subsys_unregister>,77 2f,条件跳转,nfnetlink_subsys_unregister,0xa0,0x127,nfnetlink_subsys_unregister,0xa0
0x104,callq,5,callq 109 <nfnetlink_subsys_unregister>,e8 00 00 00 00,函数调用,nfnetlink_subsys_unregister,0xa0,0x109,nfnetlink_subsys_unregister,0xa0
0x109,callq,5,callq 10e <nfnetlink_subsys_unregister>,e8 00 00 00 00,函数调用,nfnetlink_subsys_unregister,0xa0,0x10e,nfnetlink_subsys_unregister,0xa0
0x120,callq,5,callq 125 <nfnetlink_subsys_unregister>,e8 00 00 00 00,函数调用,nfnetlink_subsys_unregister,0xa0,0x125,nfnetlink_subsys_unregister,0xa0
