jump_instr_address,jump_instr,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x0,callq,函数调用,.altinstr_replacement,0x0,0x5,e1000_alloc_dummy_rx_buffers,0x0
0x10,callq,函数调用,e1000_fix_features,0x10,0x15,e1000_fix_features,0x10
0x40,callq,函数调用,e1000_regdump,0x40,0x45,e1000_regdump,0x40
0x3d7,callq,函数调用,e1000_xmit_frame.cold,0x2f8,0x3dc,e1000_regdump,0x2f8
0x3ea,ja,条件跳转,e1000_xmit_frame.cold,0x2f8,0x427,e1000_regdump,0x2f8
0x3ff,callq,函数调用,e1000_xmit_frame.cold,0x2f8,0x404,e1000_regdump,0x2f8
0x408,jne,条件跳转,e1000_xmit_frame.cold,0x2f8,0x3dc,e1000_regdump,0x2f8
0x417,jne,条件跳转,e1000_xmit_frame.cold,0x2f8,0x441,e1000_regdump,0x2f8
0x434,callq,函数调用,e1000_xmit_frame.cold,0x2f8,0x439,e1000_regdump,0x2f8
0x43f,jmp,无条件跳转,e1000_xmit_frame.cold,0x2f8,0x3ec,e1000_regdump,0x2f8
0x441,callq,函数调用,e1000_xmit_frame.cold,0x2f8,0x446,e1000_regdump,0x2f8
0x450,callq,函数调用,e1000_update_itr,0x450,0x455,e1000_update_itr,0x450
0x463,jbe,条件跳转,e1000_update_itr,0x450,0x47c,e1000_update_itr,0x450
0x469,je,条件跳转,e1000_update_itr,0x450,0x47c,e1000_update_itr,0x450
0x46f,je,条件跳转,e1000_update_itr,0x450,0x4c8,e1000_update_itr,0x450
0x475,je,条件跳转,e1000_update_itr,0x450,0x4af,e1000_update_itr,0x450
0x47a,je,条件跳转,e1000_update_itr,0x450,0x482,e1000_update_itr,0x450
0x494,jg,条件跳转,e1000_update_itr,0x450,0x47c,e1000_update_itr,0x450
0x4b5,jle,条件跳转,e1000_update_itr,0x450,0x52a,e1000_update_itr,0x450
0x4d5,jle,条件跳转,e1000_update_itr,0x450,0x4fc,e1000_update_itr,0x450
0x4da,jle,条件跳转,e1000_update_itr,0x450,0x4f1,e1000_update_itr,0x450
0x4e1,jg,条件跳转,e1000_update_itr,0x450,0x4f1,e1000_update_itr,0x450
0x507,jg,条件跳转,e1000_update_itr,0x450,0x47c,e1000_update_itr,0x450
0x540,callq,函数调用,e1000_maybe_stop_tx,0x540,0x545,e1000_maybe_stop_tx,0x540
0x554,ja,条件跳转,e1000_maybe_stop_tx,0x540,0x55a,e1000_maybe_stop_tx,0x540
0x567,ja,条件跳转,e1000_maybe_stop_tx,0x540,0x572,e1000_maybe_stop_tx,0x540
0x596,ja,条件跳转,e1000_clean_rx_irq.cold,0x575,0x59c,e1000_maybe_stop_tx,0x575
0x5ac,ja,条件跳转,e1000_alloc_rx_buffers.cold,0x5a7,0x569,e1000_maybe_stop_tx,0x540
0x5c7,jmp,无条件跳转,e1000_alloc_rx_buffers.cold,0x5a7,0x569,e1000_maybe_stop_tx,0x540
0x5d0,callq,函数调用,e1000_intr,0x5d0,0x5d5,e1000_intr,0x5d0
0x5e4,je,条件跳转,e1000_intr,0x5d0,0x6a4,e1000_intr,0x656
0x5fe,jne,条件跳转,e1000_intr,0x5d0,0x692,e1000_intr,0x656
0x606,jne,条件跳转,e1000_intr,0x5d0,0x6a9,e1000_intr,0x656
0x632,callq,函数调用,e1000_reset.cold,0x620,0x637,e1000_intr,0x620
0x639,je,条件跳转,e1000_reset.cold,0x620,0x66b,e1000_intr,0x656
0x654,callq,函数调用,e1000_io_slot_reset.cold,0x640,0x659,e1000_intr,0x656
0x674,jne,条件跳转,e1000_probe.cold,0x656,0x692,e1000_intr,0x656
0x6b9,jne,条件跳转,e1000_probe.cold,0x656,0x60c,e1000_intr,0x5d0
0x6d7,callq,函数调用,e1000_probe.cold,0x656,0x6dc,e1000_intr,0x656
0x6f0,callq,函数调用,e1000_request_irq,0x6f0,0x6f5,e1000_request_irq,0x6f0
0x726,callq,函数调用,e1000_request_irq,0x6f0,0x72b,e1000_request_irq,0x6f0
0x72d,je,条件跳转,e1000_request_irq,0x6f0,0x73c,e1000_request_irq,0x6f0
