jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x10,call,5,call 15 <e1000_alloc_dummy_rx_buffers>,e8 00 00 00 00,函数调用,cleanup_module,0x10,0x15,e1000_alloc_dummy_rx_buffers,0x15
0x1a,jmp,5,jmp 1f <e1000_alloc_dummy_rx_buffers>,e9 00 00 00 00,无条件跳转,e1000_configure_rx.cold,0x15,0x1f,e1000_alloc_dummy_rx_buffers,0x15
0x30,call,5,call 35 <e1000_fix_features>,e8 00 00 00 00,函数调用,e1000_fix_features,0x30,0x35,e1000_fix_features,0x30
0x53,jmp,5,jmp 58 <e1000_fix_features>,e9 00 00 00 00,无条件跳转,e1000_unmap_and_free_tx_resource.cold,0x52,0x58,e1000_fix_features,0x52
0x70,call,5,call 75 <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_regdump,0x70,0x75,e1000_regdump,0x70
0x452,call,5,call 457 <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_check_for_link.cold,0x446,0x457,e1000_regdump,0x446
0x462,ja,2,ja 4ab <e1000_regdump>,77 47,条件跳转,e1000_check_for_link.cold,0x446,0x4ab,e1000_regdump,0x4a5
0x477,call,5,call 47c <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_check_for_link.cold,0x446,0x47c,e1000_regdump,0x446
0x480,jne,2,jne 457 <e1000_regdump>,75 d5,条件跳转,e1000_check_for_link.cold,0x446,0x457,e1000_regdump,0x446
0x48f,jne,2,jne 4c5 <e1000_regdump>,75 34,条件跳转,e1000_check_for_link.cold,0x446,0x4c5,e1000_regdump,0x4ba
0x4a6,jmp,5,jmp 4ab <e1000_regdump>,e9 00 00 00 00,无条件跳转,e1000_copper_link_igp_setup.cold,0x4a5,0x4ab,e1000_regdump,0x4a5
0x4b8,call,5,call 4bd <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_copper_link_igp_setup.cold,0x4a5,0x4bd,e1000_regdump,0x4ba
0x4c3,jmp,2,jmp 464 <e1000_regdump>,eb 9f,无条件跳转,e1000_copper_link_mgp_setup.cold,0x4ba,0x464,e1000_regdump,0x446
0x4c5,call,5,call 4ca <e1000_regdump>,e8 00 00 00 00,函数调用,e1000_copper_link_mgp_setup.cold,0x4ba,0x4ca,e1000_regdump,0x4ba
0x4e0,call,5,call 4e5 <e1000_dump>,e8 00 00 00 00,函数调用,e1000_dump,0x4e0,0x4e5,e1000_dump,0x4e0
0x4ec,jne,2,jne 509 <e1000_dump>,75 1b,条件跳转,e1000_setup_link.cold,0x4e8,0x509,e1000_dump,0x4e8
