event_id,timestamp_ns,pid,cpu,jump_type,jump_type_name,src_func,dst_func,src_offset,src_func_addr,cfi_dst_addr,reg_rax,reg_rcx,reg_rdx,reg_rbx,reg_rsp,reg_rbp,reg_rsi,reg_rdi,ret_addr,saved_rax_val,saved_rsp_val,is_correct,call_stack_hash,ptr_origin
1,29923727518232,95621,2,4,INDIRECT_CALL,test01_global_fptr_call,,0x148f,0x0,0x0,0x70ea3e2c73b9,0x0,0x1,0x0,0x70ea33bfe880,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x0,0x70ea3e2c73b9,0x0,1,0xf2b2b62f17d92688,0x0
2,29923727538142,95621,2,3,RET,test_target_a,,0x13d2,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe878,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7491,0x70ea3e2c73b9,0x70ea3e2c7491,1,0xa714800da6634c79,0x0
3,29923727542311,95621,2,3,RET,test01_global_fptr_call,,0x1493,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe888,0x70ea33bfe890,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7a2a,0x70ea3e2c73b9,0x70ea3e2c7a2a,1,0xe48c95b9f82a6d85,0x0
4,29923727566959,95621,2,4,INDIRECT_CALL,test02_local_fptr_call,,0x14be,0x0,0x0,0x70ea3e2c73d3,0x0,0x1,0x0,0x70ea33bfe870,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x0,0x70ea3e2c73d3,0x0,1,0x8796598677367bc,0x0
5,29923727589027,95621,2,3,RET,test_target_b,,0x13ec,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe868,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c74c0,0x70ea3e2c73d3,0x70ea3e2c74c0,1,0xdec902022d26e7cc,0x0
6,29923727593329,95621,2,3,RET,test02_local_fptr_call,,0x14c2,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe888,0x70ea33bfe890,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7a2f,0x70ea3e2c73d3,0x70ea3e2c7a2f,1,0x355851a127f8d9dc,0x0
7,29923727604284,95621,2,4,INDIRECT_CALL,test03_table_fptr_call,,0x150f,0x0,0x0,0x70ea3e2c73ed,0x0,0x10,0x0,0x70ea33bfe870,0x70ea33bfe880,0x70ea2c000ba0,0x70ea33bfe670,0x0,0x2,0x0,0,0x9ca8c9f7ad582d75,0x0
8,29923727617128,95621,2,3,RET,test_target_c,,0x1406,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe868,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7511,0x2,0x70ea3e2c7511,1,0x39faeb0389e375e2,0x0
9,29923727620500,95621,2,3,RET,test03_table_fptr_call,,0x1513,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe888,0x70ea33bfe890,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7a39,0x2,0x70ea3e2c7a39,1,0xce308b6092900d3a,0x0
10,29923727633975,95621,2,4,INDIRECT_CALL,test04_stack_fptr_call,,0x1546,0x0,0x0,0x70ea3e2c73ed,0x0,0x1,0x0,0x70ea33bfe870,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x0,0x70ea3e2c73ed,0x0,1,0x1d0b675517becb08,0x0
11,29923727649015,95621,2,3,RET,test_target_c,,0x1406,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe868,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7548,0x70ea3e2c73ed,0x70ea3e2c7548,1,0x5e2ebb954e4957b0,0x0
12,29923727653346,95621,2,3,RET,test04_stack_fptr_call,,0x154a,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe888,0x70ea33bfe890,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7a3e,0x70ea3e2c73ed,0x70ea3e2c7a3e,1,0x5568886a3011f5f0,0x0
13,29923727678566,95621,2,4,INDIRECT_CALL,test05_vtable_call,,0x1587,0x0,0x0,0x70ea3e2c73b9,0x0,0x1,0x0,0x70ea33bfe860,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x0,0x70ea3e2c73d3,0x0,0,0x1a04a5360730b9b3,0x0
14,29923727693188,95621,2,3,RET,test_target_a,,0x13d2,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe858,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7589,0x70ea3e2c73d3,0x70ea3e2c7589,1,0xfdedbd07fbc610c0,0x0
15,29923727701132,95621,2,4,INDIRECT_CALL,test05_vtable_call,,0x158d,0x0,0x0,0x70ea3e2c73d3,0x0,0x1,0x0,0x70ea33bfe860,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x0,0x70ea3e2c73d3,0x0,1,0xc8ebf08e40efa1c0,0x0
16,29923727718835,95621,2,3,RET,test_target_b,,0x13ec,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe858,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c758f,0x70ea3e2c73d3,0x70ea3e2c758f,1,0x9c43d5c383d0d44f,0x0
17,29923727722269,95621,2,3,RET,test05_vtable_call,,0x1591,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe888,0x70ea33bfe890,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7a43,0x70ea3e2c73d3,0x70ea3e2c7a43,1,0x2db38fd504b477a3,0x0
18,29923727733739,95621,2,4,INDIRECT_CALL,call_via_fp,,0x15a6,0x0,0x0,0x70ea3e2c7407,0x0,0x1,0x0,0x70ea33bfe860,0x70ea33bfe870,0x70ea2c000ba0,0x70ea3e2c7407,0x0,0x70ea3e2c7407,0x0,1,0x5694343c731c0b8,0x0
19,29923727748708,95621,2,3,RET,test_target_d,,0x1420,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe858,0x70ea33bfe870,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c75a8,0x70ea3e2c7407,0x70ea3e2c75a8,1,0x9c4ffcf6bf379400,0x0
20,29923727752605,95621,2,3,RET,call_via_fp,,0x15aa,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe878,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c75d1,0x70ea3e2c7407,0x70ea3e2c75d1,1,0x3a86e4e2d1c20400,0x0
21,29923727755742,95621,2,3,RET,test06_callback_arg,,0x15d3,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe888,0x70ea33bfe890,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7a48,0x70ea3e2c7407,0x70ea3e2c7a48,1,0xa3dd0f8f84d3b400,0x0
22,29923727769035,95621,2,4,INDIRECT_CALL,test07_indirect_jump,,0x162c,0x0,0x0,0x70ea3e2c73b9,0x0,0x1,0x0,0x70ea33bfe840,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x0,0x70ea3e2c7407,0x0,0,0x4e44f424bd1d4e52,0x0
23,29923727776473,95621,2,3,RET,test_target_a,,0x13d2,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe838,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c762e,0x70ea3e2c7407,0x70ea3e2c762e,1,0x7e2ddad0d8c3cb18,0x0
24,29923727786809,95621,2,4,INDIRECT_CALL,test07_indirect_jump,,0x163d,0x0,0x0,0x70ea3e2c73ed,0x0,0x1,0x0,0x70ea33bfe840,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x0,0x70ea3e2c73ed,0x0,1,0xf6c32af81fcec938,0x0
25,29923727793926,95621,2,3,RET,test_target_c,,0x1406,0x0,0x0,0x11,0x0,0x1,0x0,0x70ea33bfe838,0x70ea33bfe880,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c763f,0x70ea3e2c73ed,0x70ea3e2c763f,1,0xc42d005d65ab3317,0x0
26,29923727797471,95621,2,3,RET,test07_indirect_jump,,0x1655,0x0,0x0,0x0,0x0,0x1,0x0,0x70ea33bfe888,0x70ea33bfe890,0x70ea2c000ba0,0x70ea42a05710,0x70ea3e2c7a52,0x70ea3e2c73ed,0x70ea3e2c7a52,1,0x3c52b720ce3fc2cb,0x0
27,29923727807545,95621,2,4,INDIRECT_CALL,test08_indirect_call_with_retval,,0x1688,0x0,0x0,0x5,0x0,0x70ea3e2c7421,0x0,0x70ea33bfe860,0x70ea33bfe880,0x70ea2c000ba0,0x5,0x0,0x70ea3e2c7421,0x0,0,0x5b03f64e0dcb7d9f,0x0
28,29923727814749,95621,2,3,RET,test_target_ret_int,,0x1432,0x0,0x0,0xa,0x0,0x70ea3e2c7421,0x0,0x70ea33bfe858,0x70ea33bfe880,0x70ea2c000ba0,0x5,0x70ea3e2c768a,0x70ea3e2c7421,0x70ea3e2c768a,1,0x479afdb867e5653d,0x0
