event_id,timestamp_ns,pid,cpu,site_id,layer,func_name,inst_offset,reg_value,target_addr,instr_type,instr_type_name
1,29923727470132,95621,2,14,3,test01_global_fptr_call,0x1485,0x70ea3e2ca0e0,0x70ea3e2c73b9,2,RIP_REL
2,29923727513489,95621,2,14,2,test01_global_fptr_call,0x148c,0x70ea3e2ca0e0,0x70ea3e2c73b9,1,DEREF
3,29923727522140,95621,2,14,1,test01_global_fptr_call,0x148f,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
4,29923727558553,95621,2,16,3,test02_local_fptr_call,0x14af,0x70ea3e2c73d3,0x70ea3e2c73d3,2,RIP_REL
5,29923727563581,95621,2,16,2,test02_local_fptr_call,0x14ba,0x70ea3e2c73d3,0x70ea3e2c73d3,3,RBP_REL
6,29923727569042,95621,2,16,1,test02_local_fptr_call,0x14be,0x70ea3e2c73d3,0x70ea3e2c73d3,0,DIRECT
7,29923727601126,95621,2,18,2,test03_table_fptr_call,0x1504,0x2,0x2,0,DIRECT
8,29923727606360,95621,2,18,1,test03_table_fptr_call,0x150f,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
9,29923727626751,95621,2,20,3,test04_stack_fptr_call,0x153a,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
10,29923727630790,95621,2,20,2,test04_stack_fptr_call,0x1542,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
11,29923727635993,95621,2,20,1,test04_stack_fptr_call,0x1546,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
12,29923727667173,95621,2,22,3,test05_vtable_call,0x1566,0x70ea3e2c73b9,0x70ea3e2c73b9,2,RIP_REL
13,29923727671530,95621,2,23,3,test05_vtable_call,0x1571,0x70ea3e2c73d3,0x70ea3e2c73d3,2,RIP_REL
14,29923727675065,95621,2,22,2,test05_vtable_call,0x1583,0x70ea3e2c73b9,0x70ea3e2c73b9,3,RBP_REL
15,29923727680274,95621,2,22,1,test05_vtable_call,0x1587,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
16,29923727697631,95621,2,23,2,test05_vtable_call,0x1589,0x70ea3e2c73d3,0x70ea3e2c73d3,3,RBP_REL
17,29923727703020,95621,2,23,1,test05_vtable_call,0x158d,0x70ea3e2c73d3,0x70ea3e2c73d3,0,DIRECT
18,29923727730452,95621,2,25,2,call_via_fp,0x15a2,0x70ea3e2c7407,0x70ea3e2c7407,3,RBP_REL
19,29923727735792,95621,2,25,1,call_via_fp,0x15a6,0x70ea3e2c7407,0x70ea3e2c7407,0,DIRECT
20,29923727762117,95621,2,28,3,test07_indirect_jump,0x161a,0x0,0x0,1,DEREF
21,29923727765479,95621,2,28,2,test07_indirect_jump,0x1628,0x70ea3e2c73b9,0xe5894855fa1e0fcc,3,RBP_REL
22,29923727770966,95621,2,28,1,test07_indirect_jump,0x162c,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
23,29923727780222,95621,2,29,3,test07_indirect_jump,0x162e,0x70ea3e2c73ed,0x70ea3e2c73ed,2,RIP_REL
24,29923727783619,95621,2,29,2,test07_indirect_jump,0x1639,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
25,29923727788647,95621,2,29,1,test07_indirect_jump,0x163d,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
26,29923727804158,95621,2,31,2,test08_indirect_call_with_retval,0x1682,0x70ea3e2c7421,0x70ea3e2c7421,3,RBP_REL
27,29923727809824,95621,2,31,1,test08_indirect_call_with_retval,0x1688,0x70ea3e2c7421,0x70ea3e2c7421,0,DIRECT
28,29923727833124,95621,2,33,3,test09_indirect_call_multiarg,0x16c4,0x70ea3e2c7433,0x70ea3e2c7433,2,RIP_REL
29,29923727837136,95621,2,33,2,test09_indirect_call_multiarg,0x16cf,0x70ea3e2c7433,0x70ea3e2c7433,3,RBP_REL
30,29923727842301,95621,2,33,1,test09_indirect_call_multiarg,0x16e2,0x70ea3e2c7433,0x70ea3e2c7433,0,DIRECT
31,29923727857660,95621,2,35,3,test10_volatile_fptr,0x1702,0x70ea3e2c73b9,0x70ea3e2c73b9,2,RIP_REL
32,29923727861633,95621,2,35,2,test10_volatile_fptr,0x170d,0x70ea3e2c73b9,0x70ea3e2c73b9,3,RBP_REL
33,29923727866595,95621,2,35,1,test10_volatile_fptr,0x1711,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
34,29923727882131,95621,2,37,2,test11_conditional_indirect,0x175c,0x70ea3e2c73b9,0x70ea3e2c73b9,3,RBP_REL
35,29923727887220,95621,2,37,1,test11_conditional_indirect,0x1760,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
36,29923727902038,95621,2,39,2,test12_switch_style,0x17e9,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
37,29923727907115,95621,2,39,1,test12_switch_style,0x17ed,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
38,29923727921683,95621,2,41,3,test13_runtime_computed_target,0x1844,0x3e2c77ef00000002,0x3e2c77ef00000002,3,RBP_REL
39,29923727925216,95621,2,41,2,test13_runtime_computed_target,0x1852,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
40,29923727930232,95621,2,41,1,test13_runtime_computed_target,0x1856,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
41,29923727970704,95621,2,46,3,test15_double_indirect,0x18f1,0x70ea3e2ca120,0x70ea3e2c73b9,1,DEREF
42,29923727974168,95621,2,46,2,test15_double_indirect,0x18f8,0x70ea3e2c73b9,0xe5894855fa1e0fcc,3,RBP_REL
43,29923727978662,95621,2,46,1,test15_double_indirect,0x18fc,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
44,29923727994999,95621,2,49,3,test16_returned_fptr_call,0x19a3,0x28,0x0,1,DEREF
45,29923728010553,95621,2,49,2,test16_returned_fptr_call,0x19ac,0x70ea3e2c73d3,0xe5894855fa1e0fcc,3,RBP_REL
46,29923728015393,95621,2,49,1,test16_returned_fptr_call,0x19b0,0x70ea3e2c73d3,0x70ea3e2c73d3,0,DIRECT
47,29923728037750,95621,2,51,3,test17_nested_struct_fptr,0x19df,0x70ea3e2c73d3,0x70ea3e2c73d3,2,RIP_REL
48,29923728040999,95621,2,51,2,test17_nested_struct_fptr,0x19f1,0x70ea3e2c73d3,0x70ea3e2c73d3,3,RBP_REL
49,29923728045607,95621,2,51,1,test17_nested_struct_fptr,0x19f5,0x70ea3e2c73d3,0x70ea3e2c73d3,0,DIRECT
50,29924728292874,95621,2,14,3,test01_global_fptr_call,0x1485,0x70ea3e2ca0e0,0x70ea3e2c73b9,2,RIP_REL
51,29924728313663,95621,2,14,2,test01_global_fptr_call,0x148c,0x70ea3e2ca0e0,0x70ea3e2c73b9,1,DEREF
52,29924728323017,95621,2,14,1,test01_global_fptr_call,0x148f,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
53,29924728347749,95621,2,16,3,test02_local_fptr_call,0x14af,0x70ea3e2c73d3,0x70ea3e2c73d3,2,RIP_REL
54,29924728351536,95621,2,16,2,test02_local_fptr_call,0x14ba,0x70ea3e2c73d3,0x70ea3e2c73d3,3,RBP_REL
55,29924728357200,95621,2,16,1,test02_local_fptr_call,0x14be,0x70ea3e2c73d3,0x70ea3e2c73d3,0,DIRECT
56,29924728374440,95621,2,18,2,test03_table_fptr_call,0x1504,0x2,0x2,0,DIRECT
57,29924728379264,95621,2,18,1,test03_table_fptr_call,0x150f,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
58,29924728393401,95621,2,20,3,test04_stack_fptr_call,0x153a,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
59,29924728397550,95621,2,20,2,test04_stack_fptr_call,0x1542,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
60,29924728402432,95621,2,20,1,test04_stack_fptr_call,0x1546,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
61,29924728415624,95621,2,22,3,test05_vtable_call,0x1566,0x70ea3e2c73b9,0x70ea3e2c73b9,2,RIP_REL
62,29924728419028,95621,2,23,3,test05_vtable_call,0x1571,0x70ea3e2c73d3,0x70ea3e2c73d3,2,RIP_REL
63,29924728422328,95621,2,22,2,test05_vtable_call,0x1583,0x70ea3e2c73b9,0x70ea3e2c73b9,3,RBP_REL
64,29924728427499,95621,2,22,1,test05_vtable_call,0x1587,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
65,29924728435441,95621,2,23,2,test05_vtable_call,0x1589,0x70ea3e2c73d3,0x70ea3e2c73d3,3,RBP_REL
66,29924728440207,95621,2,23,1,test05_vtable_call,0x158d,0x70ea3e2c73d3,0x70ea3e2c73d3,0,DIRECT
67,29924728455368,95621,2,25,2,call_via_fp,0x15a2,0x70ea3e2c7407,0x70ea3e2c7407,3,RBP_REL
68,29924728460818,95621,2,25,1,call_via_fp,0x15a6,0x70ea3e2c7407,0x70ea3e2c7407,0,DIRECT
69,29924728478450,95621,2,28,3,test07_indirect_jump,0x161a,0x0,0x0,1,DEREF
70,29924728481771,95621,2,28,2,test07_indirect_jump,0x1628,0x70ea3e2c73b9,0xe5894855fa1e0fcc,3,RBP_REL
71,29924728486776,95621,2,28,1,test07_indirect_jump,0x162c,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
72,29924728494899,95621,2,29,3,test07_indirect_jump,0x162e,0x70ea3e2c73ed,0x70ea3e2c73ed,2,RIP_REL
73,29924728498337,95621,2,29,2,test07_indirect_jump,0x1639,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
74,29924728503204,95621,2,29,1,test07_indirect_jump,0x163d,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
75,29924728517095,95621,2,31,2,test08_indirect_call_with_retval,0x1682,0x70ea3e2c7421,0x70ea3e2c7421,3,RBP_REL
76,29924728522352,95621,2,31,1,test08_indirect_call_with_retval,0x1688,0x70ea3e2c7421,0x70ea3e2c7421,0,DIRECT
77,29924728536300,95621,2,33,3,test09_indirect_call_multiarg,0x16c4,0x70ea3e2c7433,0x70ea3e2c7433,2,RIP_REL
78,29924728540207,95621,2,33,2,test09_indirect_call_multiarg,0x16cf,0x70ea3e2c7433,0x70ea3e2c7433,3,RBP_REL
79,29924728544957,95621,2,33,1,test09_indirect_call_multiarg,0x16e2,0x70ea3e2c7433,0x70ea3e2c7433,0,DIRECT
80,29924728559313,95621,2,35,3,test10_volatile_fptr,0x1702,0x70ea3e2c73b9,0x70ea3e2c73b9,2,RIP_REL
81,29924728563182,95621,2,35,2,test10_volatile_fptr,0x170d,0x70ea3e2c73b9,0x70ea3e2c73b9,3,RBP_REL
82,29924728567558,95621,2,35,1,test10_volatile_fptr,0x1711,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
83,29924728581860,95621,2,37,2,test11_conditional_indirect,0x175c,0x70ea3e2c73b9,0x70ea3e2c73b9,3,RBP_REL
84,29924728586530,95621,2,37,1,test11_conditional_indirect,0x1760,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
85,29924728600403,95621,2,39,2,test12_switch_style,0x17e9,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
86,29924728605628,95621,2,39,1,test12_switch_style,0x17ed,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
87,29924728619399,95621,2,41,3,test13_runtime_computed_target,0x1844,0x3e2c77ef00000002,0x3e2c77ef00000002,3,RBP_REL
88,29924728622874,95621,2,41,2,test13_runtime_computed_target,0x1852,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
89,29924728627176,95621,2,41,1,test13_runtime_computed_target,0x1856,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
90,29924728658069,95621,2,46,3,test15_double_indirect,0x18f1,0x70ea3e2ca120,0x70ea3e2c73b9,1,DEREF
91,29924728661277,95621,2,46,2,test15_double_indirect,0x18f8,0x70ea3e2c73b9,0xe5894855fa1e0fcc,3,RBP_REL
92,29924728665817,95621,2,46,1,test15_double_indirect,0x18fc,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
93,29924728681806,95621,2,49,3,test16_returned_fptr_call,0x19a3,0x28,0x0,1,DEREF
94,29924728689086,95621,2,49,2,test16_returned_fptr_call,0x19ac,0x70ea3e2c73d3,0xe5894855fa1e0fcc,3,RBP_REL
95,29924728693535,95621,2,49,1,test16_returned_fptr_call,0x19b0,0x70ea3e2c73d3,0x70ea3e2c73d3,0,DIRECT
96,29924728706739,95621,2,51,3,test17_nested_struct_fptr,0x19df,0x70ea3e2c73d3,0x70ea3e2c73d3,2,RIP_REL
97,29924728709853,95621,2,51,2,test17_nested_struct_fptr,0x19f1,0x70ea3e2c73d3,0x70ea3e2c73d3,3,RBP_REL
98,29924728714247,95621,2,51,1,test17_nested_struct_fptr,0x19f5,0x70ea3e2c73d3,0x70ea3e2c73d3,0,DIRECT
99,29925762177612,95621,2,14,3,test01_global_fptr_call,0x1485,0x70ea3e2ca0e0,0x70ea3e2c73b9,2,RIP_REL
100,29925762200850,95621,2,14,2,test01_global_fptr_call,0x148c,0x70ea3e2ca0e0,0x70ea3e2c73b9,1,DEREF
101,29925762210548,95621,2,14,1,test01_global_fptr_call,0x148f,0x70ea3e2c73b9,0x70ea3e2c73b9,0,DIRECT
102,29925762237293,95621,2,16,3,test02_local_fptr_call,0x14af,0x70ea3e2c73d3,0x70ea3e2c73d3,2,RIP_REL
103,29925762241458,95621,2,16,2,test02_local_fptr_call,0x14ba,0x70ea3e2c73d3,0x70ea3e2c73d3,3,RBP_REL
104,29925762247627,95621,2,16,1,test02_local_fptr_call,0x14be,0x70ea3e2c73d3,0x70ea3e2c73d3,0,DIRECT
105,29925762266693,95621,2,18,2,test03_table_fptr_call,0x1504,0x2,0x2,0,DIRECT
106,29925762272215,95621,2,18,1,test03_table_fptr_call,0x150f,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
107,29925762287673,95621,2,20,3,test04_stack_fptr_call,0x153a,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
108,29925762292273,95621,2,20,2,test04_stack_fptr_call,0x1542,0x70ea3e2c73ed,0x70ea3e2c73ed,3,RBP_REL
109,29925762297633,95621,2,20,1,test04_stack_fptr_call,0x1546,0x70ea3e2c73ed,0x70ea3e2c73ed,0,DIRECT
