jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x401012,je,2,je 401016 <_init+0x16>,74 02,条件跳转,_init,0x401000,,,
0x401014,call,2,call *%rax,ff d0,间接调用,_init,0x401000,,,
0x40101a,ret,1,ret,c3,函数返回,_init,0x401000,,,
0x40112f,call,6,call *0x2ebb(%rip)        # 403ff0 <__libc_start_main@GLIBC_2.34>,ff 15 bb 2e 00 00,间接调用,_start,0x401110,,,
0x401144,ret,1,ret,c3,函数返回,_dl_relocate_static_pie,0x401140,,,
0x40115b,je,2,je 401170 <deregister_tm_clones+0x20>,74 13,条件跳转,deregister_tm_clones,0x401150,,,
0x401165,je,2,je 401170 <deregister_tm_clones+0x20>,74 09,条件跳转,deregister_tm_clones,0x401150,,,
0x40116c,jmp,2,jmp *%rax,ff e0,间接跳转,deregister_tm_clones,0x401150,,,
0x401170,ret,1,ret,c3,函数返回,deregister_tm_clones,0x401150,,,
0x40119d,je,2,je 4011b0 <register_tm_clones+0x30>,74 11,条件跳转,register_tm_clones,0x401180,,,
0x4011a7,je,2,je 4011b0 <register_tm_clones+0x30>,74 07,条件跳转,register_tm_clones,0x401180,,,
0x4011ae,jmp,2,jmp *%rax,ff e0,间接跳转,register_tm_clones,0x401180,,,
0x4011b0,ret,1,ret,c3,函数返回,register_tm_clones,0x401180,,,
0x4011cb,jne,2,jne 4011e0 <__do_global_dtors_aux+0x20>,75 13,条件跳转,__do_global_dtors_aux,0x4011c0,,,
0x4011d1,call,5,call 401150 <deregister_tm_clones>,e8 7a ff ff ff,函数调用,__do_global_dtors_aux,0x4011c0,,,
0x4011de,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x4011c0,,,
0x4011e0,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x4011c0,,,
0x4011f4,jmp,2,jmp 401180 <register_tm_clones>,eb 8a,无条件跳转,frame_dummy,0x4011f0,,,
0x401214,call,5,call 4010c0 <dlopen@plt>,e8 a7 fe ff ff,函数调用,main,0x4011f6,,,
0x401222,jne,2,jne 401254 <main+0x5e>,75 30,条件跳转,main,0x4011f6,,,
0x401224,call,5,call 4010a0 <dlerror@plt>,e8 77 fe ff ff,函数调用,main,0x4011f6,,,
0x401245,call,5,call 4010d0 <fprintf@plt>,e8 86 fe ff ff,函数调用,main,0x4011f6,,,
0x40124f,jmp,5,jmp 4012dd <main+0xe7>,e9 89 00 00 00,无条件跳转,main,0x4011f6,,,
0x401265,call,5,call 4010e0 <dlsym@plt>,e8 76 fe ff ff,函数调用,main,0x4011f6,,,
0x401273,jne,2,jne 40129f <main+0xa9>,75 2a,条件跳转,main,0x4011f6,,,
0x401293,call,5,call 4010f0 <fwrite@plt>,e8 58 fe ff ff,函数调用,main,0x4011f6,,,
0x40129d,jmp,2,jmp 4012dd <main+0xe7>,eb 3e,无条件跳转,main,0x4011f6,,,
0x4012b3,call,5,call 4010b0 <memset@plt>,e8 f8 fd ff ff,函数调用,main,0x4011f6,,,
0x4012ca,call,2,call *%rdx,ff d2,间接调用,main,0x4011f6,,,
0x4012d3,call,5,call 401100 <dlclose@plt>,e8 28 fe ff ff,函数调用,main,0x4011f6,,,
0x4012de,ret,1,ret,c3,函数返回,main,0x4011f6,,,
0x4012ec,ret,1,ret,c3,函数返回,_fini,0x4012e0,,,
