jump_instr_address,jump_instr,instr_len,instr_content,instr_bytes,jump_type,parent_function_name,parent_function_start,target_address,target_function_name,target_function_start
0x1012,je,2,je 1016 <_init+0x16>,74 02,条件跳转,_init,0x1000,,,
0x1014,call,2,call *%rax,ff d0,间接调用,_init,0x1000,,,
0x101a,ret,1,ret,c3,函数返回,_init,0x1000,,,
0x10b1,je,2,je 10c8 <deregister_tm_clones+0x28>,74 15,条件跳转,deregister_tm_clones,0x10a0,,,
0x10bd,je,2,je 10c8 <deregister_tm_clones+0x28>,74 09,条件跳转,deregister_tm_clones,0x10a0,,,
0x10bf,jmp,2,jmp *%rax,ff e0,间接跳转,deregister_tm_clones,0x10a0,,,
0x10c8,ret,1,ret,c3,函数返回,deregister_tm_clones,0x10a0,,,
0x10f2,je,2,je 1108 <register_tm_clones+0x38>,74 14,条件跳转,register_tm_clones,0x10d0,,,
0x10fe,je,2,je 1108 <register_tm_clones+0x38>,74 08,条件跳转,register_tm_clones,0x10d0,,,
0x1100,jmp,2,jmp *%rax,ff e0,间接跳转,register_tm_clones,0x10d0,,,
0x1108,ret,1,ret,c3,函数返回,register_tm_clones,0x10d0,,,
0x111b,jne,2,jne 1148 <__do_global_dtors_aux+0x38>,75 2b,条件跳转,__do_global_dtors_aux,0x1110,,,
0x1129,je,2,je 1137 <__do_global_dtors_aux+0x27>,74 0c,条件跳转,__do_global_dtors_aux,0x1110,,,
0x1132,call,5,call 1060 <__cxa_finalize@plt>,e8 29 ff ff ff,函数调用,__do_global_dtors_aux,0x1110,,,
0x1137,call,5,call 10a0 <deregister_tm_clones>,e8 64 ff ff ff,函数调用,__do_global_dtors_aux,0x1110,,,
0x1144,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x1110,,,
0x1148,ret,1,ret,c3,函数返回,__do_global_dtors_aux,0x1110,,,
0x1154,jmp,5,jmp 10d0 <register_tm_clones>,e9 77 ff ff ff,无条件跳转,frame_dummy,0x1150,,,
0x1177,call,5,call 1080 <strcpy@plt>,e8 04 ff ff ff,函数调用,vulnerable_function,0x1159,,,
0x1192,call,5,call 1090 <printf@plt>,e8 f9 fe ff ff,函数调用,vulnerable_function,0x1159,,,
0x1199,ret,1,ret,c3,函数返回,vulnerable_function,0x1159,,,
0x11bd,call,5,call 1070 <strncpy@plt>,e8 ae fe ff ff,函数调用,safe_function,0x119a,,,
0x11dc,call,5,call 1090 <printf@plt>,e8 af fe ff ff,函数调用,safe_function,0x119a,,,
0x11e3,ret,1,ret,c3,函数返回,safe_function,0x119a,,,
0x11f0,ret,1,ret,c3,函数返回,_fini,0x11e4,,,
