reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rsp,<unknown>,0x0,undefined source for rsp,_init,0x1004,"sub $0x8,%rsp",No,OK,,unknown,-
rax,_init,0x1008,"mov 0x2fc1(%rip),%rax",_init,0x100f,"test %rax,%rax",No,OK,,local,-
rax,_init,0x1008,"mov 0x2fc1(%rip),%rax",_init,0x1014,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1008,local,reg_based
rsp,_init,0x1004,"sub $0x8,%rsp",_init,0x1016,"add $0x8,%rsp",No,OK,,local,-
rax,_init,0x1008,"mov 0x2fc1(%rip),%rax",_init,0x101a,ret,No,OK,,local,-
rax,_init,0x1014,call *%rax,_init,0x101a,ret,No,OK,,synthetic,-
rdi,deregister_tm_clones,0x10e0,"lea 0x2f61(%rip),%rdi",deregister_tm_clones,0x10ee,"cmp %rdi,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x10e7,"lea 0x2f5a(%rip),%rax",deregister_tm_clones,0x10ee,"cmp %rdi,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x10f3,"mov 0x2ece(%rip),%rax",deregister_tm_clones,0x10fa,"test %rax,%rax",No,OK,,local,-
rax,deregister_tm_clones,0x10f3,"mov 0x2ece(%rip),%rax",deregister_tm_clones,0x10ff,jmp *%rax,No,WARNING,indirect jump reg_based target rax L1: defined at 0x10f3,local,reg_based
rax,deregister_tm_clones,0x10f3,"mov 0x2ece(%rip),%rax",deregister_tm_clones,0x1108,ret,No,OK,,local,-
rax,deregister_tm_clones,0x10e7,"lea 0x2f5a(%rip),%rax",deregister_tm_clones,0x1108,ret,No,OK,,local,-
rdi,register_tm_clones,0x1110,"lea 0x2f31(%rip),%rdi",register_tm_clones,0x111e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x1117,"lea 0x2f2a(%rip),%rsi",register_tm_clones,0x111e,"sub %rdi,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x111e,"sub %rdi,%rsi",register_tm_clones,0x1121,"mov %rsi,%rax",No,OK,,local,-
rsi,register_tm_clones,0x111e,"sub %rdi,%rsi",register_tm_clones,0x1124,"shr $0x3f,%rsi",No,OK,,local,-
rax,register_tm_clones,0x1121,"mov %rsi,%rax",register_tm_clones,0x1128,"sar $0x3,%rax",No,OK,,local,-
rax,register_tm_clones,0x1128,"sar $0x3,%rax",register_tm_clones,0x112c,"add %rax,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x1124,"shr $0x3f,%rsi",register_tm_clones,0x112c,"add %rax,%rsi",No,OK,,local,-
rsi,register_tm_clones,0x112c,"add %rax,%rsi",register_tm_clones,0x112f,sar %rsi,No,OK,,local,-
rax,register_tm_clones,0x1134,"mov 0x2ead(%rip),%rax",register_tm_clones,0x113b,"test %rax,%rax",No,OK,,local,-
rax,register_tm_clones,0x1134,"mov 0x2ead(%rip),%rax",register_tm_clones,0x1140,jmp *%rax,No,WARNING,indirect jump reg_based target rax L1: defined at 0x1134,local,reg_based
rax,register_tm_clones,0x1134,"mov 0x2ead(%rip),%rax",register_tm_clones,0x1148,ret,No,OK,,local,-
rax,register_tm_clones,0x1128,"sar $0x3,%rax",register_tm_clones,0x1148,ret,No,OK,,local,-
rbp,<unknown>,0x0,undefined source for rbp,__do_global_dtors_aux,0x115d,push %rbp,No,OK,,unknown,-
rsp,__do_global_dtors_aux,0x115d,push %rbp,__do_global_dtors_aux,0x1166,"mov %rsp,%rbp",No,OK,,local,-
rsp,__do_global_dtors_aux,0x115d,push %rbp,__do_global_dtors_aux,0x1183,pop %rbp,No,OK,,local,-
rax,__do_global_dtors_aux,0x1177,call 10e0 <deregister_tm_clones>,__do_global_dtors_aux,0x1184,ret,No,OK,,synthetic,-
